FIPS,State,County/Borough/Parish,Yrs_Potential_Life_Lost_per100K(YPLL),%_Fair/Poor_Health,%_Low_Birthweight_Births,%_Adult_Smokers,%_Adult_Obesity,"Healthy_Food_Access(0=Worst,10=Best)",%_Adults_Physical_Inactivity,%_Access_to_Excercise_Opportunities,%_Adults_Excessive_Drinking,%_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,%_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate(per100K_Medicare_Enrollees),Graduation_Rate,%_Adults(25-44)_with_Some_Post-secondary_Ed,%_Ppl(16+)_Unemployed_&_Looking_for_Work,%_Children(under18)_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,%_Children_Living_in_Single_Parent_Household,Associations_per_10K,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,Drinking water violations_% Pop in Viol,"%_Households_with_One_or_More Problems(overcrowding,high-housing-cost,lack-kitchen,lack-plumbing-facilities)",Driving alone to work_% Drive Alone,%_Lone_Commuters_who_Commute_More_Than_30Min,Resident_Population,%_under_18_years_of_age,%_Age_65_and_over,#_Non-Hispanic_Black_or_African_American,%_Non-Hispanic_Black_or_African_American,#_American_Indian_or_Alaskan_Native,%_American_Indian_or_Alaskan_Native,#_Asian,%_Asian,#_Native_Hawaiian/Other_Pacific_Islander,%_Native_Hawaiian/Other_Pacific_Islander,#_Hispanic,%_Hispanic,#_Non-Hispanic_White,%_Non-Hispanic_White,#_Not_Proficient_in_English,%_Not_Proficient_in_English,%_Female,#_Pop_Living_in_Rural_Area,%_Rural,%_Adults(20+)_Diagnosed_Diabetes,#_Ppl(Age13+)_diagnosed_HIV_per_100K,Premature_Deaths,Premature(under75)_Age_Adjusted_Mortality_per_100K,Infant(within1yr)_Mortality_per_1K_live_births,Child(under18)_Mortality_per_100K,%_Pop_w/o_Adequate_Access_to_Food,Motor_Vehicle_Deaths_per_100K,Drug_Overdose_Deaths_per_100K,%_Children(under19)_w/o_Health_Insurance,Other_Primary_Care_Providers(non_physician)_per_100K,Median_Household_Income,%_Children_Enrolled_in_Free/Reduced_Lunch,#_Deaths_due_to_Homicide_per_100K,Year
1000.0,Alabama,0,9507.9,20.5,10.296384813,21.9,33.22677993,6.7,29.371208276,64.104963119,12.2,27.863920389,635.0,46.652294617,15.766747311,62.75374,44.33437,69.40821,71.52,76.947371986,57.955766056,6.4637931422,27.4,88984.0,17087.0,38.258636285,12.505124924,417.96887253,75.198980195,12.8,4.7530243319,15.193281166,84.953408022,32.3,4833722.0,22.994309561,14.91947613,1270145.0,26.276749056,33581.0,0.694723445,61859.0,1.2797384707,5136.0,0.1062535247,198019.0,4.0966154032,3210595.0,66.420762303,63069.0,1.4023585434,51.479481029,1957932.0,40.963182904,12.9,289.9,72385.0,459.7,9.1,73.303527954,18.569592057,20.890552311,11.472927387,4.3375948902,46.1756,42882.0,50.026657857,9.1,2015
1001.0,Alabama,Autauga,8405.21,22.8,9.0850790936,21.7,31.3,7.2,27.9,73.683824742,16.7,33.333333333,508.0,36.499862524,12.836707378,32.42425,28.96137,12.6706,79.74,81.0,56.037151703,5.6874828276,19.6,100692.0,24138.0,29.629370139,13.149836077,253.64461706,73.323459108,12.92,0.0,12.25,88.51888668,42.0,55246.0,25.393693661,13.514100568,10095.0,18.272816131,277.0,0.5013937661,628.0,1.1367338812,52.0,0.0941244615,1491.0,2.6988379249,41934.0,75.904137856,245.0,0.4764868334,51.496940955,22921.0,42.002162321,12.1,181.1,754.0,431.9,8.0,41.162144548,13.5,21.248509284,8.2337973477,3.7103411655,16.29077,51868.0,38.340966921,4.6,2015
1003.0,Alabama,Baldwin,7456.89,12.7,8.6701816052,20.6,25.0,7.6,25.2,73.61808356,17.9,30.281690141,357.5,44.532661526,15.790291866,75.47565,46.53779,72.61941,51.36,74.0,62.489226757,5.8395466746,20.8,97831.0,22148.0,29.242727594,11.63582997,220.66510634,74.53511183,13.13,1.1535343709,14.09087697,83.694910629,34.9,195540.0,22.422010842,18.134908459,18341.0,9.3796665644,1442.0,0.737445024,1729.0,0.8842180628,129.0,0.0659711568,8949.0,4.5765572261,162536.0,83.121611946,2743.0,1.560029574,51.167536054,77060.0,42.279099114,11.5,188.1,2460.0,360.8,6.4,56.160180658,13.5,16.56670888,15.292346658,5.3567823415,29.15005,47539.0,34.407665505,4.3,2015
1005.0,Alabama,Barbour,8900.51,23.4,11.877875366,25.1,38.4,5.0,32.3,44.145390975,13.5,43.47826087,716.9,72.873799726,17.528430629,44.11603,36.933080000000004,3.69331,86.93,69.696107784,42.32832618,10.041503343,42.4,67861.0,12397.0,55.824663142,8.4555714863,146.8885763,56.105273896,12.62,52.636589404,18.561001043,82.200152788,33.1,27076.0,21.110946964,15.859063377,12765.0,47.145073127,159.0,0.5872359285,142.0,0.5244496971,50.0,0.1846653863,1309.0,4.8345398139,12545.0,46.332545428,574.0,2.2308589195,46.513517506,18613.0,67.789634702,14.8,388.1,414.0,443.7,13.5,84.086609207,22.7,18.666390128,0.0,4.5462114904,11.07992,30981.0,69.677926159,0.0,2015
1007.0,Alabama,Bibb,10729.22,17.9,12.787436904,25.9,37.3,7.6,33.2,39.437049967,11.2,31.034482759,371.7,50.850850851,15.104645814,26.552200000000003,17.7683,0.0,70.85,80.0,50.0,6.8497757848,35.6,73507.0,16285.0,37.176423736,10.620878878,235.95211046,80.755591447,12.87,0.0,9.5501730104,83.212237094,47.5,22512.0,21.290867093,14.285714286,4956.0,22.014925373,89.0,0.395344705,35.0,0.1554726368,30.0,0.1332622601,466.0,2.0700071073,16786.0,74.564676617,92.0,0.4286246739,45.993248045,15663.0,68.352607462,12.7,106.7,407.0,539.7,13.9,107.95956424,15.4,25.873874329,18.932103167,4.2057006179,8.88415,39781.0,54.648205708,7.8,2015
1009.0,Alabama,Blount,8668.52,24.2,7.6907549455,21.3,30.9,8.5,29.8,25.508530756,5.5,18.032786885,160.8,47.239216294,18.295760083,29.39854,19.00746,5.1838500000000005,84.79,85.12195122,49.194273463,5.6070842399,26.6,81149.0,20370.0,27.62988407,8.6466295438,219.03434424,91.915284746,12.66,0.0,11.834884276,83.330380868,58.4,57872.0,23.842272602,16.408625933,948.0,1.6380978712,350.0,0.6047829693,161.0,0.2782001659,65.0,0.1123168372,5041.0,8.7106027094,50831.0,87.833494609,1254.0,2.3225663061,50.552944429,51562.0,89.951502041,13.2,92.8,861.0,430.5,6.3,49.822064057,11.8,25.56737002,18.298215799,5.8770656157,6.911810000000001,44392.0,44.229796703,4.3,2015
1011.0,Alabama,Bullock,10743.52,23.0,13.632514818,37.8,43.2,3.8,32.8,23.437786329,0.0,41.666666667,964.3,84.596967279,17.551900782,38.1898,18.798759999999998,9.399379999999999,68.39,72.5,35.720959203,11.990820425,44.2,69634.0,13230.0,62.407968818,11.456940997,283.35085234,85.390755523,12.75,15.497640498,13.430851064,82.531771742,46.8,10639.0,21.026412257,14.616035342,7328.0,68.878654009,84.0,0.7895478898,29.0,0.2725820096,82.0,0.7707491306,829.0,7.7920857223,2363.0,22.210734092,372.0,3.6952418794,45.173418554,5607.0,51.374381528,17.6,409.1,180.0,498.5,0.0,127.07825903,24.1,54.191945226,0.0,4.11433521,56.396280000000004,25937.0,85.998715478,0.0,2015
1013.0,Alabama,Butler,10357.46,19.9,10.803757829,30.5,38.4,6.0,37.3,50.069222323,10.9,21.739130435,738.7,63.341425734,16.601761428,34.470870000000005,24.673080000000002,14.80385,116.92,66.0,44.363862412,9.3146663656,39.8,62639.0,12281.0,51.209016393,11.818584724,483.03787782,82.915541843,12.82,50.266436506,17.799752781,88.205604994,32.9,20265.0,23.335800642,17.749814952,8771.0,43.281519862,72.0,0.355292376,194.0,0.9573155687,10.0,0.0493461633,247.0,1.2188502344,10849.0,53.535652603,46.0,0.2379474447,53.43202566,14921.0,71.23215735,16.1,219.8,375.0,528.1,0.0,50.748540979,22.1,21.316243665,8.9390699242,3.6944790369,34.54231,31041.0,69.35243211,8.2,2015
1015.0,Alabama,Calhoun,10538.61,22.7,8.6887991331,24.4,31.5,6.4,33.2,56.768039672,11.6,22.535211268,684.6,49.328449328,15.292822681,63.940799999999996,52.25466,84.80674,84.63,81.824047955,51.317230053,7.2664015905,28.7,78898.0,15277.0,39.598332702,14.749011049,504.5156397,77.888756529,12.89,0.0,14.512792597,85.632235284,28.0,116736.0,22.21337034,15.547046327,24112.0,20.655153509,589.0,0.5045572917,973.0,0.8335046601,108.0,0.0925164474,4066.0,3.4830729167,85383.0,73.141961349,924.0,0.8348995229,51.685855263,39955.0,33.696825557,13.2,185.4,2081.0,527.2,8.3,77.942322681,17.2,17.541701131,12.059919527,3.6874228003,34.26535,37898.0,52.99061873,12.0,2015
1017.0,Alabama,Chambers,11863.82,38.5,11.880832735,24.1,39.7,5.7,35.3,62.823323104,0.0,29.787234043,871.9,59.728046766,16.042569965,41.09911,23.41783,0.0,66.66,75.860795455,47.658739887,7.2611723345,34.7,67982.0,12876.0,54.760306164,18.494598403,553.4591195,78.28703298,12.97,0.0,17.146017699,86.543347094,34.3,34162.0,21.436098589,17.838534044,13246.0,38.774076459,75.0,0.2195421814,232.0,0.6791171477,22.0,0.0643990399,671.0,1.964170716,19603.0,57.382471752,101.0,0.3142110503,52.040278672,16816.0,49.148034488,15.7,318.2,686.0,567.2,8.7,58.84083554,20.5,28.220802882,9.9602833701,3.8580246914,8.78169,33883.0,66.121935889,9.7,2015
