FIPS,State,County/Borough/Parish,Yrs_Potential_Life_Lost_per100K(YPLL),%_Fair/Poor_Health,%_Low_Birthweight_Births,%_Adult_Smokers,%_Adult_Obesity,"Healthy_Food_Access(0=Worst,10=Best)",%_Adults_Physical_Inactivity,%_Access_to_Excercise_Opportunities,%_Adults_Excessive_Drinking,%_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,%_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate(per100K_Medicare_Enrollees),Graduation_Rate,%_Adults(25-44)_with_Some_Post-secondary_Ed,%_Ppl(16+)_Unemployed_&_Looking_for_Work,%_Children(under18)_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,%_Children_Living_in_Single_Parent_Household,Associations_per_10K,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,"County_Affected_by_Water_Violation(1=Yes,0=No)","%_Households_with_One_or_More Problems(overcrowding,high-housing-cost,lack-kitchen,lack-plumbing-facilities)",%_Lone_Commuters_who_Commute_More_Than_30Min,Premature_Deaths,Premature(under75)_Age_Adjusted_Mortality_per_100K,Child(under18)_Mortality_per_100K,Infant(within1yr)_Mortality_per_1K_live_births,%_Adults(20+)_Diagnosed_Diabetes,#_Ppl(Age13+)_diagnosed_HIV_per_100K,%_Pop_w/o_Adequate_Access_to_Food,Drug_Overdose_Deaths_per_100K,Motor_Vehicle_Deaths_per_100K,%_Children(under19)_w/o_Health_Insurance,Other_Primary_Care_Providers(non_physician)_per_100K,Median_Household_Income,%_Children_Enrolled_in_Free/Reduced_Lunch,#_Deaths_due_to_Homicide_per_100K,Resident_Population,%_under_18_years_of_age,%_Age_65_and_over,#_Non-Hispanic_Black_or_African_American,%_Non-Hispanic_Black_or_African_American,#_American_Indian_or_Alaskan_Native,%_American_Indian_or_Alaskan_Native,#_Asian,%_Asian,#_Native_Hawaiian/Other_Pacific_Islander,%_Native_Hawaiian/Other_Pacific_Islander,#_Hispanic,%_Hispanic,#_Non-Hispanic_White,%_Non-Hispanic_White,#_Not_Proficient_in_English,%_Not_Proficient_in_English,%_Female,#_Pop_Living_in_Rural_Area,%_Rural,Year
1000,Alabama,0,9573.2,21.225377921,10.179325894,21.404946812,34.040806286,6.5,27.684504519,62.806690579,12.965296025,29.432375613,600.2,41.415000858,14.161383757,64.44127,45.77093,79.48172000000001,61.13,89.32253684,58.986504545,6.1026824051,26.5,90487.0,17254.0,38.197091756,12.428400597,436.02528817,75.599454641,10.1,0,15.441742332,33.0,76851.0,463.5,72.454088799,8.8910911454,13.719615294,297.4,18.8,14.145158622,18.415930329,3.9780315448,59.148230000000005,44833.0,51.769301625,8.5,4858979,22.710450076,15.726801865,1285257,26.451174208,33980,0.6993238703,67196,1.3829242728,5067,0.1042811669,203325,4.1845210691,3204583,65.951777112,55798,1.2302323459,51.57040193,1957932,40.963182904,2017
1001,Alabama,Autauga,9158.2,17.878814127,8.789277082,17.380239384,34.1,6.9,28.6,70.821498598,14.954122494,32.653061224,398.2,32.41877763,11.016234451,41.51999,30.71531,12.647480000000002,58.59,90.0,59.674515235,5.243401296,18.8,97896.0,22695.0,25.165610599,13.719649788,265.6997471,76.236861787,10.8,No,14.723467862,42.6,851.0,468.4,55.301841016,6.908462867,13.0,205.0,14.4,9.6392510302,18.937674298,3.4698795181,23.48817,56580.0,48.902691511,3.6,55347,24.700525774,14.311525467,10493,18.958570474,267,0.4824109708,664,1.1997036876,55,0.0993730464,1573,2.8420691275,41459,74.907402389,338,0.6502626061,51.475238044,22921,42.002162321,2017
1003,Alabama,Baldwin,7393.9,16.361972647,8.6306400839,17.937119897,27.4,7.5,22.3,72.168545799,15.3780314,34.228187919,341.1,38.019407813,16.132991881,73.95895,47.61694,83.45238,47.61,85.0,62.887664408,5.4869668789,19.6,99839.0,22065.0,26.783655398,11.543593306,216.77307832,71.452920408,9.6,Yes,14.702872348,37.7,2740.0,361.3,47.728357463,6.2794348509,10.4,169.0,13.7,17.18499733,15.31521705,4.9109963614,37.30812,52387.0,41.838802458,3.1,203709,21.952392874,19.175392349,19088,9.3702291013,1505,0.738798973,1907,0.9361392967,123,0.0603802483,9268,4.5496271642,168996,82.95951578,2159,1.1693847595,51.260867217,77060,42.279099114,2017
1005,Alabama,Barbour,8573.1,25.02040126,11.669057867,22.776688613,44.4,4.9,31.8,45.26714499,11.923450028,38.461538462,613.1,59.021292492,15.342094285,40.91196,37.75152,7.5503,73.5,86.173469388,39.266943292,8.9391304348,45.2,71011.0,12766.0,56.455563331,8.182392978,328.65907099,67.521443623,10.1,Yes,16.195652174,35.5,425.0,439.5,65.780818313,12.053571429,18.4,399.9,23.3,0.0,18.958743667,4.4966785897,26.42606,31433.0,67.36814065,6.8,26489,21.250330326,17.161840764,12529,47.29887878,153,0.5775982483,118,0.4454679301,49,0.1849824455,1172,4.4244780852,12340,46.585375061,447,1.7559710874,46.589150213,18613,67.789634702,2017
1007,Alabama,Bibb,11766.1,19.540231096,11.968235961,19.850765841,40.3,7.3,33.9,32.838751909,14.309651742,33.333333333,444.2,47.497879559,13.564171435,39.98934,17.71244,0.0,77.35,85.0,50.222018068,6.6077738516,29.3,78138.0,18287.0,29.569672131,10.219497023,147.29089953,81.441875288,10.5,No,13.681241185,46.5,396.0,521.0,104.7833604,11.797752809,14.8,120.0,16.4,14.792680582,22.03752676,3.9544513458,48.70921,40767.0,63.44950849,8.2,22583,20.772262321,15.020147899,4980,22.051986007,96,0.4250985254,52,0.2302617013,31,0.1372713988,544,2.4088916442,16724,74.055705619,76,0.3539658144,46.109905681,15663,68.352607462,2017
1009,Alabama,Blount,9332.8,18.947608063,7.3489723895,21.037381533,34.6,8.3,28.0,25.508530756,13.902887738,20.408163265,124.4,43.2304038,16.475248355,19.057850000000002,19.07305,6.93565,63.02,91.20625,51.213677619,5.4040735874,22.2,83484.0,20679.0,27.381213852,8.4894055684,211.59883621,96.617688309,11.3,No,11.534817622,59.8,916.0,445.4,43.877289846,6.3602790316,14.1,95.5,12.2,20.777541786,20.821456015,5.6534352225,8.66957,50487.0,53.078289955,5.7,57673,23.199764188,17.529866662,987,1.7113727394,377,0.6536854334,164,0.2843618331,64,0.1109704715,5164,8.9539299152,50403,87.394448009,918,1.6948213791,50.5921315,51562,89.951502041,2017
1011,Alabama,Bullock,10857.7,28.257945086,13.429951691,22.774925032,43.0,3.8,31.7,23.199560198,11.380953558,61.904761905,939.9,77.782744747,17.309711286,27.87068,18.69858,9.34929,76.3,87.5,33.621549717,7.7728891682,51.2,63721.0,10544.0,73.273542601,10.21924935,302.28603816,101.66619599,9.8,No,18.048128342,47.1,197.0,546.6,111.3833816,0.0,19.6,361.8,24.4,0.0,46.656713235,4.4863731656,65.44503,28251.0,63.857801185,0.0,10696,20.661929693,15.286088257,7373,68.932311144,90,0.8414360509,25,0.2337322364,75,0.7011967091,805,7.5261780105,2386,22.307404637,306,3.0590822753,45.241211668,5607,51.374381528,2017
1013,Alabama,Butler,12427.4,26.62129034,11.141602634,21.832347452,36.3,6.0,34.4,46.006588056,11.377488406,36.666666667,804.3,55.802007938,14.396816784,44.34371,24.808970000000002,24.808970000000002,86.37,83.0,43.273029736,7.5475825859,36.0,68308.0,14026.0,51.603312805,11.824990146,523.43993568,91.470611378,9.4,Yes,16.454159077,33.0,394.0,560.2,100.3220867,0.0,17.7,250.4,22.6,0.0,20.211031041,3.7793047696,49.617940000000004,33868.0,71.168912567,13.2,20154,23.479210082,18.37848566,8863,43.97638186,71,0.3522873871,200,0.992358837,10,0.0496179418,236,1.1709834276,10639,52.788528332,93,0.4866307362,53.503026694,14921,71.23215735,2017
1015,Alabama,Calhoun,10716.9,22.003204574,8.8653212521,20.320382384,32.2,6.1,31.3,59.285497419,14.662472735,21.666666667,723.9,44.629755556,14.215835494,66.42741,55.35375,89.08493,71.0,92.16337386,53.97856896,6.9792186923,30.7,79864.0,16369.0,39.604458549,14.66579247,574.32355552,76.967250349,11.6,No,14.879964598,29.9,2231.0,550.4,70.322133169,7.9086995695,14.9,198.0,18.2,13.208067258,15.48214068,3.4197087195,42.38021,42091.0,60.729525925,9.3,115620,22.115550943,16.346652828,24126,20.866632071,611,0.5284552846,1024,0.8856599204,109,0.094274347,4179,3.6144265698,83958,72.615464453,884,0.8048656129,51.777374157,39955,33.696825557,2017
1017,Alabama,Chambers,11410.4,24.489616793,11.429582449,20.905874722,39.7,5.6,31.6,61.1632325,11.712198267,30.23255814,825.5,59.92903141,14.892694559,41.084630000000004,26.375170000000004,0.0,56.2,85.0,44.98570896,6.0132450331,34.4,71126.0,14919.0,52.344497608,18.488085456,526.85596989,69.263459416,10.4,No,19.241982507,34.5,693.0,532.7,44.315663883,9.1937765205,16.4,366.8,21.1,0.0,19.668316852,3.5020483679,11.7223,35560.0,72.65541551,8.8,34123,21.270111069,18.6501773,13456,39.433812971,92,0.2696128711,324,0.9495061982,20,0.0586114937,691,2.0250271078,19239,56.381326378,77,0.2403320953,52.114409636,16816,49.148034488,2017
