FIPS,State,County/Borough/Parish,Yrs_Potential_Life_Lost_per100K(YPLL),%_Fair/Poor_Health,%_Low_Birthweight_Births,%_Adult_Smokers,%_Adult_Obesity,"Healthy_Food_Access(0=Worst,10=Best)",%_Adults_Physical_Inactivity,%_Access_to_Excercise_Opportunities,%_Adults_Excessive_Drinking,%_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,%_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate(per100K_Medicare_Enrollees),Graduation_Rate,%_Adults(25-44)_with_Some_Post-secondary_Ed,%_Ppl(16+)_Unemployed_&_Looking_for_Work,%_Children(under18)_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,%_Children_Living_in_Single_Parent_Household,Associations_per_10K,Annual_Avg_Violent_Crimes,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,"County_Affected_by_Water_Violation(1=Yes,0=No)","%_Households_with_One_or_More Problems(overcrowding,high-housing-cost,lack-kitchen,lack-plumbing-facilities)",%_Lone_Commuters_who_Commute_More_Than_30Min,Premature age-adjusted mortality_Age-Adjusted Mortality,Child(under18)_Mortality_per_100K,Infant(within1yr)_Mortality_per_1K_live_births,%_Adults(20+)_Diagnosed_Diabetes,#_Ppl(Age13+)_diagnosed_HIV_per_100K,%_Pop_w/o_Adequate_Access_to_Food,Drug_Overdose_Deaths_per_100K,Motor_Vehicle_Deaths_per_100K,%_Children(under19)_w/o_Health_Insurance,Other_Primary_Care_Providers(non_physician)_per_100K,Median_Household_Income,%_Children_Enrolled_in_Free/Reduced_Lunch,#_Deaths_due_to_Homicide_per_100K,Resident_Population,Demographics_% < 18,%_Age_65_and_over,Demographics_# African American,Demographics_% African American,Demographics_# American Indian/Alaskan Native,Demographics_% American Indian/Alaskan Native,#_Asian,%_Asian,#_Native_Hawaiian/Other_Pacific_Islander,%_Native_Hawaiian/Other_Pacific_Islander,#_Hispanic,%_Hispanic,#_Non-Hispanic_White,%_Non-Hispanic_White,#_Not_Proficient_in_English,%_Not_Proficient_in_English,%_Female,#_Pop_Living_in_Rural_Area,%_Rural,Year
48000,Texas,0,6681.323364,18.17376592,8.331095564,14.26313588,29,6,22.8,80.25715155,19.40866264,27.68223677,520.4,37.44036811,18.56366524,60.34972,56.84236,104.47067,4966,89.1,60.86459136,4.267856841,21,116315,23839,32.95724374,7.628865595,115228,420.3901404,55.78968706,8.75,0,17.96955907,37.7,341.1,51.25222286,5.721778563,9.7,368.9,15.4,10.05305041,13.22789294,9.724243479,72.69137,59195,58.95267866,5.3,28304596,26.02417996,12.26907461,3368473,11.90079873,287312,1.015071899,1417555,5.00821492,40740,0.143934222,11156514,39.4159097,11886381,41.99452626,1949158,7.662458671,50.31975373,3847522,15.30099885,2019
48001,Texas,Anderson,10272.94912,19.52958459,7.249879169,18.46577468,34.4,5.8,25.2,28.56580793,18.56160161,28.57142857,389,49.4927759,17.58767707,34.64163,36.3693,41.56492,6016,93.9,40.3538874,3.623936033,23.4,83904,19474,32.5317361,11.43173866,240.5,416.6089246,77.95717553,9.9,Yes,15.44666866,26.8,544,46.9410108,0,10.7,756.6,19.3,13.86842333,19.25364955,11.29505087,41.56492,42412,61.48741419,5.4,57741,19.58054069,14.53559862,11945,20.68720666,391,0.677161809,520,0.90057325,83,0.143745346,10287,17.8157635,34140,59.12609757,1488,2.715873624,39.06756031,39204,67.06353279,2019
48003,Texas,Andrews,7952.973251,17.30770992,6.313834726,13.33784843,32.2,8.1,24,93.86581902,21.10309894,46.2962963,265.1,68.03533063,18.21325286,39.41441,22.57082,11.28541,5914,95.1,39.57365977,3.062923094,17.5,130923,27473,21.94408917,8.445945946,89.5,493.888475,86.49829849,7.3,Yes,14.42922374,27.1,398.9,0,0,8.6,79.3,8.5,0,42.70462634,12.1743661,62.06974,63451,42.28441755,0,17722,30.89944702,10.53492834,246,1.38810518,260,1.467103036,133,0.75047963,4,0.022570816,9958,56.19004627,7131,40.23812211,1184,7.408334376,49.03509762,2440,16.50209658,2019
48005,Texas,Angelina,9018.498513,23.20734036,8.769193858,18.28213851,39.8,6.1,33.3,64.94796649,18.16406315,18.68131868,551.8,45.80626672,19.8063454,59.23158,47.83327,126.41649,4711,92.5,55.02589724,5.071830447,25.4,87170,19111,38.39939967,11.16287547,275,311.6712378,69.24166708,9.8,Yes,16.13536047,16.3,454.5,55.88734864,5.491937369,13.6,195.9,19.9,12.88606069,19.85974462,10.25498417,64.91658,45318,66.14137521,6.3,87805,25.80946415,15.7918114,12983,14.78617391,662,0.753943397,1023,1.165081715,56,0.063777689,19475,22.17983031,53264,60.66169353,3650,4.471559656,51.33306759,37383,43.08236623,2019
48007,Texas,Aransas,9315.870361,19.51767773,9.686609687,15.65917612,31.8,6.1,25.2,80.60281544,16.13909769,20,532.5,45.59060557,21.2677822,50.54236,27.37369,78.21054,3116,87,47.36729908,6.762492765,32.2,102504,19241,29.30959618,8.553322188,120.5,476.5482876,100.8168547,9.3,No,15.59917355,27.7,470,0,0,13.7,141.8,15.6,18.26650836,19.05718889,12.6320065,39.10527,46970,55.86328816,0,25572,18.731425,27.29547943,348,1.360863444,318,1.24354763,494,1.931800407,21,0.08212107,7072,27.65524793,17177,67.17112467,375,1.588915724,50.52792116,6313,27.26055791,2019
48009,Texas,Archer,9446.113949,13.24828016,8.34914611,14.03073102,28.2,7.6,23.5,22.50938812,19.84231359,50,126.2,24.06679764,17.85663792,0,0,0,3752,99.3,64.93649917,3.42047398,13.8,110956,26000,18.93153527,12.63931978,10.5,201.6516228,86.91873099,8.5,Yes,10.14925373,19.8,409.4,0,0,11.3,0,14.8,0,26.10284521,13.01301301,11.35203,58311,32.00212993,0,8809,21.77318651,19.88875014,67,0.760585765,125,1.419003292,38,0.431377001,3,0.034056079,765,8.684300148,7754,88.02361222,69,0.823880597,50.44840504,8057,88.98829247,2019
48011,Texas,Armstrong,0,11.75416225,8.108108108,12.55990212,29.4,6.4,24.7,2.524986849,20.0673843,25,3543.9,34.85254692,15.6420765,0,0,0,6573,100,75.84415584,2.5,15.1,123167,30708,20.14388489,26.65245203,3,152.8273052,124.9219238,6.8,No,9.090909091,49.6,553,0,0,11.3,0,13.8,0,0,12.12121212,53.2198,55337,51.34328358,0,1879,22.40553486,22.88451304,16,0.851516764,28,1.490154337,2,0.106439596,0,0,141,7.503991485,1684,89.62213944,11,0.602409639,51.25066525,1901,100,2019
48013,Texas,Atascosa,7645.013715,22.39260935,8.163698049,14.34795536,33.9,8.5,32.4,38.67872014,17.90773267,17.85714286,654.5,48.17729244,18.27022603,16.39445,38.79055,40.83216,5640,93.9,43.03453947,4.182994193,25.4,104340,24872,37.01872659,8.197225239,109,222.3809038,66.36801062,9.6,Yes,15.81516434,48.6,378.5,37.39366177,4.538577912,11.6,128.7,8.5,7.523270845,20.41398358,9.47721754,44.91538,48636,62.94879704,9.3,48981,27.34121394,14.446418,340,0.69414671,601,1.22700639,311,0.634940079,58,0.118413262,31578,64.46989649,16349,33.37824871,1659,3.712073749,50.18680713,27266,60.71118434,2019
48015,Texas,Austin,6980.706882,16.91253159,7.929883139,14.46040477,29.9,7.6,26,61.56877925,18.32994585,15.625,321.3,32.4925816,18.31679074,20.16265,36.9301,33.57282,4015,94.1,59.71144896,4.329499178,16.4,114860,23402,24.5424883,12.0975872,70,237.7798159,72.07550249,10.2,Yes,12.77173913,42.2,339.9,48.98187671,0,10.3,224.5,15.8,0,21.53158047,10.73558648,43.64467,61111,53.85716843,0,29786,24.1354999,18.6497012,2636,8.849795206,243,0.815819513,215,0.721815618,12,0.040287383,8083,27.13690996,18469,62.00564023,1415,5.144145127,50.39951655,18853,66.34408981,2019
48017,Texas,Bailey,8326.013329,27.30711066,7.198228129,17.52428659,29.3,8.7,24,83.94975576,15.61075944,50,305.1,73.92550143,26.41946698,41.77691,42.39084,0,6251,98.8,43.74331551,4.269662921,26.3,78910,23587,21.82790472,16.71076452,11.5,160.1894414,78.89101769,6.8,No,20.29288703,22.3,343.3,0,0,9.7,0,9.5,0,30.07880647,13.36444633,84.78169,42045,81.34893324,0,7077,31.58117847,14.13028119,81,1.144552777,232,3.278225237,60,0.847816872,9,0.127172531,4550,64.29277943,2328,32.89529462,1124,17.1054634,49.78098064,2060,28.7508723,2019
