FIPS,State,County/Borough/Parish,Yrs_Potential_Life_Lost_per100K(YPLL),%_Fair/Poor_Health,%_Low_Birthweight_Births,%_Adult_Smokers,%_Adult_Obesity,"Healthy_Food_Access(0=Worst,10=Best)",%_Adults_Physical_Inactivity,%_Access_to_Excercise_Opportunities,%_Adults_Excessive_Drinking,%_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,%_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate(per100K_Medicare_Enrollees),Graduation_Rate,%_Adults(25-44)_with_Some_Post-secondary_Ed,%_Ppl(16+)_Unemployed_&_Looking_for_Work,%_Children(under18)_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,%_Children_Living_in_Single_Parent_Household,Associations_per_10K,Annual_Avg_Violent_Crimes,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,"County_Affected_by_Water_Violation(1=Yes,0=No)","%_Households_with_One_or_More Problems(overcrowding,high-housing-cost,lack-kitchen,lack-plumbing-facilities)",%_Lone_Commuters_who_Commute_More_Than_30Min,Premature age-adjusted mortality_Age-Adjusted Mortality,Child(under18)_Mortality_per_100K,Infant(within1yr)_Mortality_per_1K_live_births,%_Adults(20+)_Diagnosed_Diabetes,#_Ppl(Age13+)_diagnosed_HIV_per_100K,%_Pop_w/o_Adequate_Access_to_Food,Drug_Overdose_Deaths_per_100K,Motor_Vehicle_Deaths_per_100K,%_Children(under19)_w/o_Health_Insurance,Other_Primary_Care_Providers(non_physician)_per_100K,Median_Household_Income,%_Children_Enrolled_in_Free/Reduced_Lunch,#_Deaths_due_to_Homicide_per_100K,Resident_Population,Demographics_% < 18,%_Age_65_and_over,Demographics_# African American,Demographics_% African American,Demographics_# American Indian/Alaskan Native,Demographics_% American Indian/Alaskan Native,#_Asian,%_Asian,#_Native_Hawaiian/Other_Pacific_Islander,%_Native_Hawaiian/Other_Pacific_Islander,#_Hispanic,%_Hispanic,#_Non-Hispanic_White,%_Non-Hispanic_White,#_Not_Proficient_in_English,%_Not_Proficient_in_English,%_Female,#_Pop_Living_in_Rural_Area,%_Rural,Year
1000,Alabama,0,9917.2328984,21.402405664,10.145492587,21.538154397,35.1,5.8,28.2,61.649618305,14.178145862,28.590250329,543.6,33.113479936,10.771799597,65.3877,47.61273,90.50726,5496.0,89.3,59.864749919,4.3967851662,24.4,95866,18300,38.104616217,12.242715851,23306.5,479.91918191,79.908979052,11.0,0,14.91215019,33.7,472.4,71.786041714,8.5105657224,13.9,302.4,16.5,15.941603447,19.404281766,2.6653897559,75.59367,48193.0,51.741453178,9.4,4874747,22.472407286,16.488465966,1292827,26.520904572,34108,0.699687594,71338,1.4634195375,5239,0.1074722442,211058,4.3296195679,3196852,65.579854708,48998,1.0748456546,51.590595368,1957932.0,40.963182904,2019
1001,Alabama,Autauga,8824.0571232,18.411124355,8.4757194245,19.124658497,37.5,7.2,31.1,68.677502703,16.878015122,28.813559322,341.2,26.52420801,8.5009665017,41.50426,32.430099999999996,16.215049999999998,6599.0,90.0,60.854664988,3.8635223281,19.3,105294,22709,24.700096863,12.631730908,148.5,272.28222006,74.031808398,11.7,No,14.954645747,38.3,438.7,53.279441484,7.6992753623,14.2,225.5,13.4,9.6230761366,20.37715798,2.4761904762,30.62842,58343.0,47.931664339,5.2,55504,23.937013549,15.119631018,10687,19.254468146,264,0.4756413952,710,1.2791870856,58,0.1044969732,1586,2.8574517152,41336,74.47391179,430,0.8285483063,51.342245604,22921.0,42.002162321,2019
1003,Alabama,Baldwin,7224.6321603,18.060457821,8.3386827577,16.795485149,31.0,8.0,23.8,71.971031191,16.71496869,31.875,338.8,29.594009426,10.699288042,72.87966,49.852320000000006,91.23916,3833.0,86.361576801,66.133926345,3.9883364094,14.7,105906,23438,25.18409096,10.692212904,408.0,203.66039629,69.374288987,10.3,Yes,13.831725255,40.5,348.4,47.000016588,5.8513374486,11.3,163.9,12.3,16.322611618,15.092363836,3.2380267084,52.20385,56607.0,45.079131159,2.9,212628,21.848486559,19.947043663,19037,8.9531952518,1650,0.7760031604,2459,1.1564798615,146,0.0686645221,9675,4.5502003499,176582,83.047387926,872,0.4545122854,51.452771977,77060.0,42.279099114,2019
1005,Alabama,Barbour,9586.165037,25.773415631,10.952623535,21.540877567,44.3,5.6,28.2,53.625669228,12.698715423,29.62962963,557.9,45.092838196,12.513196644,38.513380000000005,35.61535,7.91452,4736.0,81.41025641,36.774008051,5.900922778,50.3,74459,12938,57.21574344,8.4729443482,105.5,414.27786068,72.90013441,11.5,No,15.455531453,33.8,469.8,77.080027205,0.0,18.0,436.0,23.2,0.0,20.966952857,2.9014236799,23.743570000000002,32490.0,73.769808173,7.0,25270,20.763751484,18.824693312,12115,47.942223981,165,0.6529481599,117,0.4629996043,47,0.185991294,1063,4.2065690542,11613,45.95567867,297,1.1992731678,47.229916898,18613.0,67.789634702,2019
1007,Alabama,Bibb,11783.543675,19.996911856,11.105002749,19.916404243,37.8,7.6,34.9,16.251363736,15.925150788,27.272727273,302.1,45.454545455,9.6800752764,57.412890000000004,26.469029999999997,8.82301,5998.0,83.763837638,48.406310367,4.3851399012,27.3,88436,20786,29.565403554,10.15766462,19.5,89.349125982,100.0779368,11.2,No,10.960854093,48.6,563.7,111.74968072,14.792899408,14.9,191.9,15.8,22.093263028,25.272468804,2.6194467728,92.64161,45795.0,65.329687025,8.2,22668,20.606140815,16.022586907,4864,21.45756132,97,0.4279160049,50,0.2205752603,26,0.1146991353,598,2.6380801129,16842,74.298570672,84,0.3943476832,46.453149815,15663.0,68.352607462,2019
1009,Alabama,Blount,10908.101822,21.095323159,7.9268292683,19.652158178,34.4,8.5,28.5,22.949303932,15.378721894,21.875,114.3,35.600555238,12.114004163,22.52877,20.68502,10.34251,4162.0,93.468795356,54.413997542,4.0213929942,18.5,86549,20972,29.569732938,9.0115070012,279.0,482.69061089,105.1972275,11.7,No,10.401153015,59.7,501.8,76.032935242,6.1846875666,14.3,95.4,11.0,24.799584751,25.711771047,3.4301361966,18.96127,48253.0,53.311793215,7.4,58013,23.349938807,17.842552531,847,1.4600175823,367,0.6326168273,175,0.3016565253,68,0.117215107,5549,9.5650974782,50439,86.944305587,1013,1.8700042458,50.688638753,51562.0,89.951502041,2019
1011,Alabama,Bullock,12066.910263,29.407713883,13.73200443,23.478291175,39.4,4.2,29.2,26.69048928,12.896317308,60.714285714,733.9,54.593175853,13.206483439,28.95194,19.40052,9.70026,6767.0,70.247933884,33.620689655,4.9251870324,48.3,66477,10073,76.157407407,9.6506465933,33.0,311.0273327,109.91093424,11.2,No,20.759837178,47.3,568.2,135.47076089,0.0,20.0,691.3,26.0,0.0,46.079202017,2.7890238417,77.60210000000001,29113.0,68.970189702,0.0,10309,20.710059172,15.82112717,7130,69.162867397,87,0.8439227859,20,0.1940052381,80,0.7760209526,850,8.245222621,2196,21.301775148,109,1.104692409,45.533029392,5607.0,51.374381528,2019
1013,Alabama,Butler,14018.606262,26.502613197,12.411764706,22.197655522,40.2,6.5,34.7,48.57974889,13.042811266,31.25,827.7,42.14559387,10.667084247,30.003,30.26482,35.30895,7962.0,81.589958159,38.444170772,5.4884864744,33.0,75474,14733,52.564384768,11.501150115,116.5,581.58400519,95.486283793,10.6,No,13.780260708,31.8,577.1,122.77143162,0.0,17.9,268.4,21.7,0.0,26.856072653,2.4958402662,65.57377,36842.0,78.569147237,17.0,19825,22.733921816,19.556116015,8845,44.615384615,75,0.3783102144,204,1.0290037831,10,0.0504413619,285,1.4375788146,10229,51.596469105,135,0.7127019322,53.432534678,14921.0,71.23215735,2019
1015,Alabama,Calhoun,12217.759984,19.584701424,9.0023300148,20.462231748,37.1,6.9,30.2,44.713760416,15.431677015,17.857142857,587.5,37.049638955,11.198205872,64.56622999999999,64.50037999999999,98.49383,6450.0,92.368045649,57.522215691,4.9339651617,24.2,86828,17422,39.297771776,14.309272234,871.0,756.06654427,82.062149093,11.8,No,14.538810763,30.6,572.2,77.013457608,7.8317777063,16.2,211.2,16.7,19.132708525,18.210812301,2.3045235504,50.55435,45937.0,59.029288703,10.3,114728,21.78979848,17.312251586,23852,20.790042535,607,0.5290774702,1137,0.9910396765,129,0.1124398578,4302,3.749738512,82961,72.311031309,960,0.880968331,51.930653371,39955.0,33.696825557,2019
1017,Alabama,Chambers,11273.17098,25.219835535,12.446043165,22.040369624,40.3,6.3,32.4,61.864679234,13.528450886,34.210526316,792.3,49.574866695,10.656982992,50.231950000000005,20.763499999999997,5.93243,5511.0,86.23853211,47.139938713,4.0788086452,29.6,77368,16325,48.405594406,17.728924741,180.5,528.99973623,81.216123166,11.4,No,16.068190062,30.9,536.3,86.706204696,8.064516129,17.0,366.9,19.5,0.0,23.957632818,2.485320224,14.831069999999999,36883.0,55.918007494,9.7,33713,21.137246759,19.078693679,13313,39.489217809,100,0.2966214813,421,1.2487764364,15,0.0444932222,822,2.4382285765,18710,55.497879156,49,0.1538944724,52.125292914,16816.0,49.148034488,2019
1019,Alabama,Cherokee,11294.41054,19.291593453,8.2324455206,19.14485261,36.3,8.5,31.8,33.429527877,15.232730666,17.857142857,169.0,41.122588189,11.895424837,34.98542,15.4697,19.33712,6577.0,94.904458599,50.063601672,4.0540540541,25.0,80875,16898,26.422447389,10.106899903,86.0,330.43879198,105.64384914,11.4,No,15.469858156,43.4,536.9,0.0,0.0,13.5,90.1,12.5,14.20436203,33.560924081,2.9816946594,69.61364,44842.0,63.839840836,8.3,25857,19.712263604,22.61669954,1090,4.2154929033,163,0.6303902232,77,0.2977917005,8,0.0309393975,425,1.6436554898,23707,91.685036934,24,0.0972250354,50.319062536,22282.0,85.736273039,2019
1021,Alabama,Chilton,10831.917358,21.465307173,8.6144265698,19.673275015,35.3,8.1,31.2,47.242398552,15.064312648,18.75,307.3,49.344978166,14.211262583,18.20623,27.231260000000002,40.846889999999995,3791.0,88.205980066,38.798914471,4.0485406423,22.6,85794,17264,35.209096165,16.385607974,223.0,507.81072095,90.068370081,11.2,No,13.058207576,49.2,541.5,63.692764974,6.7938332898,14.7,99.5,13.6,12.125713333,25.361977194,3.8842134468,13.615630000000001,46405.0,63.705518308,6.2,44067,23.87500851,16.359180339,4442,10.080105294,241,0.5468945016,220,0.499239794,76,0.1724646561,3431,7.7858715138,35335,80.184718724,923,2.2532529356,50.827149568,37858.0,86.74472424,2019
1023,Alabama,Choctaw,12047.187077,24.111284914,11.004273504,19.062059567,41.3,6.4,32.6,27.563316257,13.025240355,58.333333333,375.3,30.313351499,11.283273739,38.48226,46.349940000000004,0.0,4778.0,78.632478632,55.251798561,6.3883763838,34.8,74268,12869,42.655262179,20.780420226,16.5,128.41466262,103.25402007,10.1,No,13.3632287,45.9,536.1,0.0,0.0,16.2,220.3,20.5,0.0,40.816764949,3.2093362509,46.349940000000004,36711.0,64.290755116,11.8,12945,20.092699884,22.742371572,5389,41.629972963,23,0.1776747779,19,0.1467748165,0,0.0,126,0.9733487833,7309,56.461954423,0,0.0,52.715334106,13859.0,100.0,2019
1025,Alabama,Clarke,9688.3738435,27.70052858,12.954429083,20.933322707,39.6,5.4,32.3,23.864824062,13.353695283,31.25,633.4,40.77082338,11.380654426,57.395869999999995,29.06615,66.43691,5857.0,90.909090909,38.667866787,8.4844559585,31.9,85203,10435,34.635416667,18.448671696,116.0,475.31243598,79.479651587,10.4,No,12.681912682,34.3,456.8,69.130795465,0.0,18.5,162.0,24.1,0.0,30.432136336,2.7313566936,53.979989999999994,36719.0,57.698132256,0.0,24083,21.878503509,19.279159573,10634,44.155628452,119,0.4941244862,121,0.5024290994,4,0.0166092264,319,1.3245858074,12703,52.74675082,46,0.1977729051,52.78412158,19628.0,75.98033523,2019
1027,Alabama,Clay,9666.0412363,20.587634774,9.5528455285,19.13940444,37.7,7.9,30.6,63.975021533,14.819133688,30.0,287.8,41.796200345,13.443463401,37.059000000000005,14.962220000000002,14.962220000000002,5644.0,89.808917197,40.827218145,4.3698654081,25.5,77406,15780,37.557359689,11.858879336,41.5,309.06721281,80.056929372,10.6,Yes,14.298892989,39.4,509.7,0.0,0.0,14.7,190.9,14.5,0.0,22.163822309,3.7800687285,44.88666,39642.0,60.07231405,0.0,13367,20.573053041,20.243884192,1849,13.832572754,77,0.5760454851,33,0.2468766365,0,0.0,417,3.119622952,10761,80.504226827,57,0.447761194,51.051095983,13932.0,100.0,2019
1029,Alabama,Cleburne,11985.555305,18.30098389,8.8815789474,19.710511775,34.5,8.0,28.7,41.48410366,15.970047221,32.0,252.0,41.316978696,11.899599733,26.802469999999996,0.0,40.26846,5505.0,98.02955665,49.914578588,4.4583768722,22.4,76500,15576,20.487232169,8.7108013937,15.5,103.33333333,102.78178226,11.0,No,11.601731602,49.5,586.8,86.724000867,0.0,13.1,111.3,13.9,0.0,29.641528738,3.4337179848,20.13423,45480.0,56.579954093,0.0,14900,22.946308725,19.10738255,459,3.0805369128,69,0.4630872483,30,0.2013422819,11,0.0738255034,361,2.4228187919,13818,92.738255034,125,0.888920495,50.416107383,14972.0,100.0,2019
