FIPS,State,County/Borough/Parish,Premature_Deaths,Yrs_Potential_Life_Lost_per100K(YPLL),%_Fair/Poor_Health,%_Low_Birthweight_Births,%_Adult_Smokers,%_Adult_Obesity,"Healthy_Food_Access(0=Worst,10=Best)",%_Adults_Physical_Inactivity,%_Access_to_Excercise_Opportunities,%_Adults_Excessive_Drinking,%_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,%_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate(per100K_Medicare_Enrollees),Graduation_Rate,%_Adults(25-44)_with_Some_Post-secondary_Ed,%_Ppl(16+)_Unemployed_&_Looking_for_Work,%_Children(under18)_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,%_Children_Living_in_Single_Parent_Household,Associations_per_10K,Annual_Avg_Violent_Crimes,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,"County_Affected_by_Water_Violation(1=Yes,0=No)","%_Households_with_One_or_More Problems(overcrowding,high-housing-cost,lack-kitchen,lack-plumbing-facilities)",%_Lone_Commuters_who_Commute_More_Than_30Min,Premature(under75)_Age_Adjusted_Mortality_per_100K,Child(under18)_Mortality_per_100K,Infant(within1yr)_Mortality_per_1K_live_births,%_Adults(20+)_Diagnosed_Diabetes,#_Ppl(Age13+)_diagnosed_HIV_per_100K,%_Pop_w/o_Adequate_Access_to_Food,Drug_Overdose_Deaths_per_100K,Motor_Vehicle_Deaths_per_100K,%_Children(under19)_w/o_Health_Insurance,Other_Primary_Care_Providers(non_physician)_per_100K,Median_Household_Income,%_Children_Enrolled_in_Free/Reduced_Lunch,#_Deaths_due_to_Homicide_per_100K,Resident_Population,%_under_18_years_of_age,%_Age_65_and_over,#_Non-Hispanic_Black_or_African_American,%_Non-Hispanic_Black_or_African_American,#_American_Indian_or_Alaskan_Native,%_American_Indian_or_Alaskan_Native,#_Asian,%_Asian,#_Native_Hawaiian/Other_Pacific_Islander,%_Native_Hawaiian/Other_Pacific_Islander,#_Hispanic,%_Hispanic,#_Non-Hispanic_White,%_Non-Hispanic_White,#_Not_Proficient_in_English,%_Not_Proficient_in_English,%_Female,#_Pop_Living_in_Rural_Area,%_Rural,Year
1000,Alabama,0,81791.0,9942.7946665,22.028702851,10.254870596,20.927353108,35.5,5.8,29.8,61.112287373,13.903515291,27.589170606,614.1,30.894616445,11.044782592,64.82388,48.18049,101.23017,5805.0,89.3,60.411901542,3.9335669106,23.9,99688.0,18948.0,37.34273923,12.371924122,23306.5,479.91918191,82.250245066,11.0,0,14.340702084,34.3,474.78234901,69.499675303,8.3655636026,14.2,309.9,16.3,16.176762375,19.649886044,3.0320015182,86.02928,49881.0,55.874153026,9.9264434068,4887871,22.296824118,16.91726316,1295175,26.497732858,34375,0.7032714243,73167,1.4969093906,5207,0.106528998,217181,4.4432637441,3197324,65.413428464,48517,1.0610479262,51.63303205,1957932.0,40.963182904,2020
1001,Alabama,Autauga,791.0,8128.5911903,20.882987328,8.6195286195,18.08155718,33.3,7.2,34.7,69.130124059,15.026031257,26.785714286,407.2,25.284927164,8.7216859511,45.0418,32.37352,23.38087,7108.0,90.0,62.009973681,3.6290788612,19.3,110026.0,21019.0,26.242679081,12.071202076,148.5,272.28222006,68.526994226,11.7,No,14.663461538,39.6,417.54755051,55.922156358,7.9401088929,11.1,219.1,13.2,10.809447457,19.328751131,2.6691540504,39.56763,59338.0,43.408673083,4.8966169531,55601,23.67403464,15.562669736,10755,19.343177281,267,0.4802071905,681,1.2247981151,62,0.1115087858,1649,2.9657739969,41316,74.308016043,426,0.8202245028,51.448714951,22921.0,42.002162321,2020
1003,Alabama,Baldwin,2967.0,7354.1225298,17.50913436,8.3450031827,17.489032597,31.0,8.0,26.5,73.713548953,17.958310103,30.769230769,325.0,27.88069221,11.333404467,72.89726999999999,49.53629,96.32055,4041.0,86.361576801,67.371619818,3.6153821564,13.9,111447.0,25227.0,24.139601453,10.205617322,408.0,203.66039629,72.385053972,10.3,No,13.566200931,41.7,353.34311052,47.381749857,5.5467006694,10.7,166.5,11.6,13.610486645,15.811238992,3.538763291,55.95766,57588.0,48.486564722,3.0083330826,218022,21.607911128,20.443349754,19151,8.783975929,1684,0.7723991157,2508,1.150342626,146,0.0669657191,10131,4.6467787654,181201,83.111337388,1068,0.5435169824,51.538376861,77060.0,42.279099114,2020
1005,Alabama,Barbour,472.0,10253.573403,29.591801708,11.474558671,21.999984528,41.7,5.6,23.5,53.166769858,12.844015554,40.0,716.3,40.870815362,12.242792457,31.658089999999998,36.172180000000004,8.038260000000001,6209.0,81.41025641,34.857648621,5.1713842112,43.9,76557.0,13475.0,56.603426045,7.5187969925,105.5,414.27786068,70.274611559,11.5,No,14.583333333,32.2,497.35006209,74.225273706,0.0,17.6,420.6,22.0,0.0,22.854779642,2.9135338346,52.2487,34382.0,63.292302039,7.6182598806,24881,20.867328484,19.420441301,11951,48.032635344,164,0.6591374945,113,0.4541618102,46,0.1848800289,1064,4.276355452,11356,45.641252361,398,1.6316825189,47.216751738,18613.0,67.789634702,2020
1007,Alabama,Bibb,471.0,11977.539484,19.439724157,10.308710033,19.114199885,37.6,7.8,33.5,16.251363736,15.570042367,27.586206897,339.7,41.696794408,10.206252586,48.52656,22.32143,22.32143,5961.0,83.763837638,44.137353434,3.9718277335,27.8,87957.0,20134.0,28.689236111,8.3818598906,19.5,89.349125982,108.15602837,11.2,No,10.496453901,49.8,589.04111681,85.8000858,12.244897959,14.5,196.8,14.3,28.060433312,25.964321223,2.6178010471,111.60714000000002,46064.0,61.562115621,8.2325896561,22400,20.477678571,16.473214286,4731,21.120535714,98,0.4375,53,0.2366071429,26,0.1160714286,588,2.625,16708,74.589285714,57,0.2682100508,46.78125,15663.0,68.352607462,2020
1009,Alabama,Blount,1085.0,11335.071134,21.745292814,7.6045627376,19.20867197,33.8,8.4,30.3,15.634485887,14.230593827,19.444444444,234.4,33.5345953,13.360759494,22.40877,19.01798,15.56017,4060.0,93.468795356,53.361073248,3.5111573222,18.0,91702.0,20699.0,28.561827957,8.4463827073,279.0,482.69061089,107.2853687,11.7,No,10.548011639,59.4,515.61182276,83.798882682,6.8419927304,17.0,99.8,10.7,24.199542513,28.666961574,4.0772837051,22.4758,50412.0,52.90628707,6.4253534562,57840,23.153526971,18.236514523,846,1.4626556017,378,0.653526971,185,0.3198478562,70,0.1210235131,5536,9.571230982,50255,86.886237898,934,1.7245199409,50.726141079,51562.0,89.951502041,2020
1011,Alabama,Bullock,203.0,11679.558981,30.999101851,15.688487585,22.894664011,37.2,4.3,24.6,2.5013743815,12.094101229,60.0,863.3,47.916666667,11.440376122,29.10079,19.72776,19.72776,6632.0,70.247933884,34.976094152,4.6901172529,68.3,69189.0,9337.0,74.789915966,7.7602095257,33.0,311.0273327,107.13807419,11.2,No,18.143459916,46.0,562.24752995,149.61445506,0.0,23.7,632.9,24.8,0.0,47.695620179,2.2854477612,88.77491,29267.0,75.786593707,0.0,10138,21.079108305,16.38390215,7050,69.540343263,85,0.8384296705,19,0.1874136911,76,0.7496547643,807,7.960149931,2151,21.217202604,43,0.4407544075,45.482343658,5607.0,51.374381528,2020
1013,Alabama,Butler,423.0,14359.939103,27.910673184,12.680288462,21.765334963,43.3,6.6,39.5,48.57974889,11.85740343,27.450980392,761.7,37.886100386,11.186009539,25.220679999999998,30.4878,50.81301,9203.0,81.589958159,41.678756477,4.7902176352,36.3,80036.0,14757.0,52.712836348,9.079445145,116.5,581.58400519,100.0470221,10.6,Yes,13.159609121,32.3,609.16970743,98.19431564,0.0,19.2,311.0,20.6,0.0,29.887920299,2.6594594595,71.13821,37365.0,79.15713819,19.213663049,19680,22.245934959,20.299796748,8769,44.557926829,74,0.3760162602,259,1.3160569106,10,0.0508130081,297,1.5091463415,10087,51.255081301,93,0.4941551541,53.429878049,14921.0,71.23215735,2020
1015,Alabama,Calhoun,2373.0,12078.616145,23.107733221,9.1613736678,20.612560375,38.5,6.9,31.7,47.721215801,13.842230147,18.75,654.6,33.534616991,11.929167524,63.62876,58.629470000000005,115.50880999999998,6581.0,92.368045649,59.243988636,4.6528321587,26.5,90822.0,18078.0,40.191944746,14.469004951,871.0,756.06654427,89.541547278,11.8,No,13.734191258,31.2,574.56384163,65.813090822,8.0260303688,17.5,226.3,15.7,18.334419817,19.278680745,2.4385508484,56.00427,45400.0,58.837593215,9.7629216594,114277,21.609772745,17.717475958,23827,20.850214829,617,0.5399161686,1102,0.9643235297,126,0.1102584072,4469,3.9106731888,82308,72.024991906,1076,0.9913761333,51.946585927,39955.0,33.696825557,2020
1017,Alabama,Chambers,654.0,11112.536614,23.995473603,12.213740458,19.392927053,40.1,6.4,30.1,61.864679234,12.745734617,28.571428571,611.0,45.441001192,11.938076809,41.527010000000004,17.849169999999997,5.94972,5622.0,86.23853211,48.460334029,3.9080911233,30.7,80754.0,17019.0,46.555443693,17.79728888,180.5,528.99973623,81.478420027,11.4,No,15.9566787,31.8,511.62651724,87.568741462,8.1061164333,19.9,387.7,17.9,9.8842553696,23.148537854,2.5387676685,14.87431,39917.0,71.121351767,10.522062661,33615,20.800237989,19.521047152,13300,39.565670088,103,0.3064108285,446,1.326788636,15,0.0446229362,861,2.5613565373,18566,55.231295553,36,0.1129376333,52.125539194,16816.0,49.148034488,2020
