FIPS,State,County,Yrs_Potential_Life_Lost_per100K(YPLL),%_Fair/Poor_Health,Avg_Days_Poor_Physical_Health_per_Month,Avg_Days_Mentally_Unhealthy_per_Month,Low_BirthWt_Unreliable,%_Low_Birthweight_Births,%_Adult_Smokers,%_Adult_Obesity,"Healthy_Food_Access(0=Worst,10=Best)",%_Adults_Physical_Inactivity,%_Access_to_Excercise_Opportunities,%_Adults_Excessive_Drinking,#_Alcohol-Impaired_Motor_Vehicle_Deaths,#_Motor_Vehicle_Deaths_x,%_Driving_Deaths_with_Alcohol_Involvement,#_Chlamydia_Cases,Chlamydia_Cases_per_100K,Teen_Birth_Rate,#_Ppl_Under65_w/o_Insurance,%_Ppl_Under65_w/o_Insurance,#_Primary_Care_Physicians(PCP)_in_Pt_Care,PCP_per_100K,Population_to_PCP_ratio,#_Dentists,Dentists_per_100K,Population_to_Dentists_ratio,#_Mental_Health_Providers(MHP),MHP_per_100K,Population_to_MHP_ratio,Preventable_Hospitalization_Rate(per100K_Medicare_Enrollees),%_Female_Medicare_Enrollees(65-74)_with_Annual_Mammogram,#_Students_Expected_to_Graduate,Graduation_Rate,#_Adults(25-44)_with_Some_Post-secondary_Ed,Adults(25-44),%_Adults(25-44)_with_Some_Post-secondary_Ed,#_Ppl(16+)_Unemployed_&_Looking_for_Work,Size_of_Labor_Force,%_Ppl(16+)_Unemployed_&_Looking_for_Work,%_Children(under18)_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,Ratio_of_Household_Income_80th_to_20th,#_Children_Living_in_Single_Parent_Household,#_Children_in_Households,%_Children_Living_in_Single_Parent_Household,#_Associations,Associations_per_10K,Annual_Avg_Violent_Crimes,Violent_Crimes_per_100K,#_Injury_Deaths,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,"County_Affected_by_Water_Violation(1=Yes,0=No)","%_Households_with_One_or_More Problems(overcrowding,high-housing-cost,lack-kitchen,lack-plumbing-facilities)",%_Households_with_High_Housing_Costs,%_Households_with_Overcrowding,%_Households_Lacking_Kitchen_or_Plumbing_Facilities,%_Workers_Who_Drive_Alone_to_Work,"#_Workers_who_Commute(car,truck,van)_Alone",%_Lone_Commuters_who_Commute_More_Than_30Min,Premature(under75)_Age_Adjusted_Mortality_#_Deaths,Premature age-adjusted mortality_Age-Adjusted Mortality,Child(under18)_Mortality_#_Deaths,Child(under18)_Mortality_per_100K,Infant(within1yr)_Mortality_#_Deaths,Infant(within1yr)_Mortality_per_1K_live_births,%_Adults(20+)_Diagnosed_Diabetes,#_HIV_Cases,#_Ppl(Age13+)_diagnosed_HIV_per_100K,#_Ppl_Food_Insecure,%_Pop_w/o_Adequate_Access_to_Food,#_Ppl_Low_Income_or_Do_Not_Live_Near_Grocery_Store,%_Pop_with_Limited_Access_to_Food,#_Drug_Overdose_Deaths,Drug_Overdose_Deaths_per_100K,#_Motor_Vehicle_Deaths_y,Motor_Vehicle_Deaths_per_100K,#_Adults(under65)_w/o_Health_Insurance,%_Adults(under65)_w/o_Health_Insurance,#_Children(under19)_w/o_Health_Insurance,%_Children(under19)_w/o_Health_Insurance,Other_Primary_Care_Providers(non_physician)_per_100K,Pop_to_Other_Primary_Care_Providers(non_physician),Median_Household_Income,%_Children_Enrolled_in_Free/Reduced_Lunch,#_Deaths_due_to_Homicide_per_100K,Resident_Population,Demographics_% < 18,%_Age_65_and_over,Demographics_# African American,Demographics_% African American,Demographics_# American Indian/Alaskan Native,Demographics_% American Indian/Alaskan Native,#_Asian,%_Asian,#_Native_Hawaiian/Other_Pacific_Islander,%_Native_Hawaiian/Other_Pacific_Islander,#_Hispanic,%_Hispanic,#_Non-Hispanic_White,%_Non-Hispanic_White,#_Not_Proficient_in_English,%_Not_Proficient_in_English,%_Female,#_Pop_Living_in_Rural_Area,%_Rural,Year
48000,Texas,0,6681.3233642,18.173765918,3.5394675791,3.415822375,0,8.3310955642,14.263135875,29.0,6.0,22.8,80.257151551,19.408662638,4990,18026,27.682236769,142952.0,520.4,37.44036811,4444791,18.563665235,16815.0,60.34972,1657:1,16089.0,56.84236,1759:1,29570.0,104.47067000000001,957:1,4966.0,37.0,358201.0,89.1,4690985,7707248,60.864591356,577800,13538411,4.2678568408,21.0,116315,23839,4.8791895633,2358861,7157337,32.957243735,21256,7.6288655946,115228.0,420.39014035,76455.0,55.789687058,8.75,0,17.96955907,0.0,0.0,0.0,80.458438389,10097917,37.7,290962.0,341.1,14857.0,51.252222859,15805.0,5.7217785626,9.7,81873.0,368.9,4277540,15.4,2180417.4075,8.6711821919,8408.0,10.053050406,24971.0,13.227892938,3783923,22.59917411,735079,9.7242434789,72.69136999999999,1376:1,59195,58.952678657,5.3,28304596,26.02417996,12.269074605,3368473,11.900798725,287312,1.0150718986,1417555,5.0082149203,40740,0.1439342218,11156514,39.415909699,11886381,41.99452626,1949158,7.6624586707,50.319753725,3847522,15.300998852,2019
48001,Texas,Anderson,10272.949118,19.529584587,3.9261302641,3.6428470452,0,7.2498791687,18.465774675,34.4,5.8,25.2,28.56580793,18.561601613,14,49,28.571428571,224.0,389.0,49.492775899,6394,17.587677073,20.0,34.64163,2887:1,21.0,36.3693,2750:1,24.0,41.56492,2406:1,6016.0,39.0,557.0,93.9,7526,18650,40.353887399,843,23262,3.623936033,23.4,83904,19474,4.308513916,3639,11186,32.531736099,66,11.431738664,240.5,416.60892461,225.0,77.957175525,9.9,Yes,15.446668659,10.453172205,4.3023603227,1.2249775919,85.067105193,16036,26.8,1075.0,544.0,21.0,46.941010796,0.0,0.0,10.7,375.0,756.6,11160,19.3,9059.4342698,15.497338722,24.0,13.868423334,78.0,19.253649554,5196,20.534302877,1310,11.295050871,41.56492,2406:1,42412,61.487414188,5.4,57741,19.58054069,14.535598621,11945,20.687206664,391,0.6771618088,520,0.9005732495,83,0.1437453456,10287,17.815763496,34140,59.126097574,1488,2.7158736243,39.067560312,39204,67.063532793,2019
48003,Texas,Andrews,7952.9732511,17.307709917,3.3028106698,3.1980569141,0,6.3138347261,13.337848434,32.2,8.1,24.0,93.865819018,21.103098937,25,54,46.296296296,48.0,265.1,68.035330628,2897,18.213252861,7.0,39.414410000000004,2537:1,4.0,22.570819999999998,4431:1,2.0,11.285409999999999,8861:1,5914.0,28.0,238.0,95.1,1875,4738,39.573659772,276,9011,3.062923094,17.5,130923,27473,4.7655152331,1201,5473,21.944089165,15,8.4459459459,89.5,493.88847502,76.0,86.498298487,7.3,Yes,14.429223744,5.7011070111,7.5799086758,1.5525114155,79.845251466,6398,27.1,193.0,398.9,0.0,0.0,0.0,0.0,8.6,11.0,79.3,1470,8.5,1729.5211976,11.697018786,0.0,0.0,51.0,42.704626335,2243,21.596379742,701,12.174366099,62.06974,1611:1,63451,42.284417549,0.0,17722,30.899447015,10.534928338,246,1.38810518,260,1.4671030358,133,0.7504796298,4,0.0225708159,9958,56.19004627,7131,40.238122108,1184,7.4083343762,49.035097619,2440,16.502096578,2019
48005,Texas,Angelina,9018.4985132,23.207340361,4.2239472614,4.0705456431,0,8.769193858,18.282138513,39.8,6.1,33.3,64.947966486,18.164063146,17,91,18.681318681,487.0,551.8,45.806266718,14196,19.806345397,52.0,59.23158,1688:1,42.0,47.83327,2091:1,111.0,126.41649,791:1,4711.0,41.0,1256.0,92.5,12005,21817,55.025897236,1857,36614,5.0718304474,25.4,87170,19111,4.5612474491,8699,22654,38.399399665,98,11.162875466,275.0,311.67123784,304.0,69.241667084,9.8,Yes,16.135360471,11.412504135,4.2504495668,1.6347882949,82.94967276,29404,16.3,1335.0,454.5,51.0,55.887348638,47.0,5.4919373685,13.6,140.0,195.9,17480,19.9,9501.8377208,10.95047622,34.0,12.886060693,122.0,19.859744623,12038,24.354616816,2397,10.25498417,64.91658,1540:1,45318,66.141375205,6.3,87805,25.809464154,15.7918114,12983,14.786173908,662,0.7539433973,1023,1.1650817152,56,0.0637776892,19475,22.179830306,53264,60.661693525,3650,4.4715596555,51.333067593,37383,43.082366228,2019
48007,Texas,Aransas,9315.8703613,19.517677734,3.8590439561,3.7431002191,0,9.6866096866,15.659176121,31.8,6.1,25.2,80.602815442,16.139097691,3,15,20.0,135.0,532.5,45.590605572,3902,21.267782199,13.0,50.542359999999995,1979:1,7.0,27.37369,3653:1,20.0,78.21054,1279:1,3116.0,46.0,222.0,87.0,2222,4691,47.367299083,701,10366,6.7624927648,32.2,102504,19241,5.3273738371,1350,4606,29.309596179,22,8.5533221881,120.5,476.54828759,127.0,100.81685467,9.3,No,15.599173554,12.65625,2.8925619835,0.5165289256,81.396048541,8116,27.7,523.0,470.0,0.0,0.0,0.0,0.0,13.7,31.0,141.8,3860,15.6,4616.7358114,19.935814023,14.0,18.266508357,33.0,19.057188891,3336,24.37705517,622,12.632006499,39.10527,2557:1,46970,55.863288156,0.0,25572,18.731424996,27.295479431,348,1.3608634444,318,1.2435476302,494,1.9318004067,21,0.0821210699,7072,27.655247927,17177,67.171124668,375,1.5889157239,50.527921164,6313,27.260557907,2019
48009,Texas,Archer,9446.1139485,13.248280155,3.1949824026,3.405328592,0,8.3491461101,14.030731015,28.2,7.6,23.5,22.509388116,19.842313585,9,18,50.0,11.0,126.2,24.066797642,1263,17.856637919,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,3752.0,35.0,161.0,99.3,1176,1811,64.936499172,140,4093,3.42047398,13.8,110956,26000,4.2675384615,365,1928,18.93153527,11,12.639319775,10.5,201.65162282,38.0,86.918730987,8.5,Yes,10.149253731,7.1428571429,1.7611940299,1.3432835821,86.027014439,3694,19.8,131.0,409.4,0.0,0.0,0.0,0.0,11.3,0.0,0.0,1290,14.8,491.97968879,5.4338379588,0.0,0.0,16.0,26.10284521,1024,19.760710151,260,13.013013013,11.352030000000001,8809:1,58311,32.002129925,0.0,8809,21.773186514,19.888750142,67,0.7605857646,125,1.4190032921,38,0.4313770008,3,0.034056079,765,8.6843001476,7754,88.023612215,69,0.823880597,50.44840504,8057,88.988292467,2019
48011,Texas,Armstrong,0.0,11.754162254,2.9602024512,3.2779770793,x,8.1081081081,12.559902118,29.4,6.4,24.7,2.524986849,20.067384297,2,8,25.0,69.0,3543.9,34.852546917,229,15.642076503,0.0,0.0,1876:0,0.0,0.0,1879:0,0.0,0.0,0,6573.0,36.0,0.0,100.0,292,385,75.844155844,23,920,2.5,15.1,123167,30708,4.0109092093,84,417,20.143884892,5,26.652452026,3.0,152.82730515,12.0,124.9219238,6.8,No,9.0909090909,6.7510548523,1.958041958,0.0,68.78251821,661,49.6,38.0,553.0,0.0,0.0,0.0,0.0,11.3,0.0,0.0,260,13.8,376.47952395,19.804288477,0.0,0.0,0.0,0.0,178,17.365853659,56,12.121212121,53.2198,1879:1,55337,51.343283582,0.0,1879,22.405534859,22.884513039,16,0.8515167642,28,1.4901543374,2,0.1064395955,0,0.0,141,7.5039914848,1684,89.622139436,11,0.6024096386,51.250665247,1901,100.0,2019
48013,Texas,Atascosa,7645.013715,22.392609353,3.9503035011,3.5450306335,0,8.1636980492,14.34795536,33.9,8.5,32.4,38.678720135,17.907732666,10,56,17.857142857,317.0,654.5,48.177292436,7590,18.270226031,8.0,16.39445,6100:1,19.0,38.790549999999996,2578:1,20.0,40.83216,2449:1,5640.0,29.0,612.0,93.9,5233,12160,43.034539474,886,21181,4.1829941929,25.4,104340,24872,4.1950788035,4942,13350,37.018726592,40,8.1972252393,109.0,222.3809038,160.0,66.368010619,9.6,Yes,15.815164335,8.2869308877,6.9964204361,1.7572404816,76.918790212,15183,48.6,599.0,378.5,20.0,37.393661774,21.0,4.5385779123,11.6,50.0,128.7,4060,8.5,3654.8465724,8.1379763808,11.0,7.5232708446,68.0,20.413983579,6389,22.612727401,1327,9.4772175404,44.91538,2226:1,48636,62.948797039,9.3,48981,27.34121394,14.446417999,340,0.6941467099,601,1.2270063902,311,0.6349400788,58,0.1184132623,31578,64.46989649,16349,33.378248709,1659,3.7120737492,50.186807129,27266,60.711184342,2019
48015,Texas,Austin,6980.706882,16.912531587,3.4289316921,3.5674023149,0,7.9298831386,14.460404772,29.9,7.6,26.0,61.568779252,18.329945849,5,32,15.625,95.0,321.3,32.492581602,4429,18.316790736,6.0,20.16265,4960:1,11.0,36.930099999999996,2708:1,10.0,33.57282,2979:1,4015.0,37.0,431.0,94.1,3849,6446,59.711448961,606,13997,4.3294991784,16.4,114860,23402,4.9081275105,1730,7049,24.542488296,36,12.097587203,70.0,237.77981589,106.0,72.075502489,10.2,Yes,12.77173913,8.0994017487,4.2572463768,0.625,81.575182592,10834,42.2,385.0,339.9,14.0,48.981876706,0.0,0.0,10.3,55.0,224.5,4610,15.8,993.80224444,3.4972102771,0.0,0.0,44.0,21.531580467,3700,21.721263356,810,10.735586481,43.644670000000005,2291:1,61111,53.857168427,0.0,29786,24.135499899,18.649701202,2636,8.8497952058,243,0.8158195125,215,0.7218156181,12,0.0402873833,8083,27.136909958,18469,62.005640234,1415,5.1441451267,50.399516551,18853,66.344089805,2019
48017,Texas,Bailey,8326.0133294,27.307110656,4.5163915259,3.968838134,0,7.1982281285,17.524286588,29.3,8.7,24.0,83.949755757,15.610759435,3,6,50.0,22.0,305.1,73.925501433,1596,26.419466976,3.0,41.77691,2394:1,3.0,42.39084,2359:1,0.0,0.0,0,6251.0,33.0,82.0,98.8,818,1870,43.743315508,114,2670,4.2696629213,26.3,78910,23587,3.3454869208,449,2057,21.827904716,12,16.710764517,11.5,160.18944143,28.0,78.891017694,6.8,No,20.292887029,6.8980477223,13.807531381,0.1673640167,69.587965991,2128,22.3,72.0,343.3,0.0,0.0,0.0,0.0,9.7,0.0,0.0,680,9.5,260.44449501,3.634954571,0.0,0.0,15.0,30.078806473,1303,34.38902085,315,13.36444633,84.78169,1180:1,42045,81.348933242,0.0,7077,31.581178465,14.130281193,81,1.1445527766,232,3.2782252367,60,0.8478168716,9,0.1271725307,4550,64.292779426,2328,32.895294616,1124,17.1054634,49.780980642,2060,28.750872296,2019
