FIPS,State,County/Borough/Parish,Year,Health_Outcomes_Rank,Yrs_Potential_Life_Lost_per_100K,Percent_Fair_Poor_Health,Percent_Low_Birthweight_Births,Percent_Adult_Smokers,Percent_Adult_Obesity,Healthy_Food_Access_Index,Percent_Adults_Physical_Inactivity,Percent_Access_to_Excercise_Opportunities,Percent_Adults_Excessive_Drinking,Percent_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,Percent_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate_per_100K_Medicare,Graduation_Rate,Percent_Adults_with_Some_Post-secondary_Ed,Percent_Unemployed_&_Looking_for_Work,Percent_Children_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,Percent_Children_Living_in_Single_Parent_Household,Associations_per_10K,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,County_Affected_by_Water_Violation,Percent_Households_with_One_or_More_Severe_Problems,Percent_Lone_Commuters_who_Commute_More_Than_30Min,Premature_Deaths,Premature_Age_Adjusted_Mortality_per_100K,Child_Mortality_per_100K,Infant_Mortality_per_1K_live_births,Percent_Adults_Diagnosed_Diabetes,HIV_per_100K,Percent_Pop_w/o_Adequate_Access_to_Food,Drug_Overdose_Deaths_per_100K,Motor_Vehicle_Deaths_per_100K,Percent_Children_w/o_Health_Insurance,Other_Primary_Care_Providers_per_100K,Median_Household_Income,Percent_Children_Enrolled_in_Reduced_Lunch,Homicide_per_100K,Resident_Population,Percent_under_18_years_of_age,Percent_Age_65_and_over,Percent_Non-Hispanic_Black_or_African_American,Percent_American_Indian_or_Alaskan_Native,Percent_Asian,Percent_Native_Hawaiian_Other_Pacific_Islander,Percent_Hispanic,Percent_Non-Hispanic_White,Percent_Not_Proficient_in_English,Percent_Female,Percent_Rural
48000.0,Texas,0,2020,0,6650.619481,20.806623845,8.3282646278,15.709602856,30.1,6.0,24.4,80.543265668,19.520381608,26.885012849,535.4,34.316588631,19.391133354,60.905300000000004,57.64089,113.83936999999999,5011.0,95.0,61.418854195,3.8552733997,21.1,120934.0,24998.0,32.774827018,7.6238502044,420.39014035,56.581311839,8.75,,17.667800018,38.2,297317.0,340.0571859,50.296380355,5.7144723686,10.0,374.8,14.9,10.398374144,13.285019401,10.66295277,82.12016,60632.0,58.678990949,5.3862695902,28701845.0,25.775691423,12.550830792,11.991020089,1.013736225,5.1782942874,0.1474922605,39.610167918,41.505516457,7.5636225859,50.316413457,15.300998852
48001.0,Texas,Anderson,2020,194,10927.038043,19.727722639,7.3070408904,17.386320799,36.5,5.9,23.1,26.389886756,19.238291739,24.074074074,379.3,46.444718455,19.602529359,34.637429999999995,39.61624,43.06113,5229.0,96.8,39.527929083,3.0898518739,22.6,82461.0,19270.0,32.494627507,10.044855475,416.60892461,82.427382515,9.9,,14.423657212,26.0,1130.0,568.86655269,51.378278158,0.0,10.4,674.8,18.2,12.101514418,20.253564751,11.824468539,53.395799999999994,45969.0,59.215550156,4.6928991496,58057.0,19.127753759,14.797526569,20.958712989,0.6975902992,0.9301203989,0.1584649569,17.965103261,58.664760494,2.5295232541,38.773963519,67.063532793
48003.0,Texas,Andrews,2020,27,7137.5099015,19.851002217,6.292749658,13.4363002,34.9,8.1,26.4,93.865819018,20.115429871,41.176470588,366.8,65.257779842,22.053520592,50.78434,22.06531,16.54898,5664.0,95.8,41.063000205,2.398209337,14.0,132125.0,30987.0,20.837108172,7.3355151789,493.88847502,85.209435824,7.3,,16.326530612,30.8,180.0,372.43546261,0.0,0.0,6.7,94.5,8.4,0.0,39.309463753,13.915631017,66.19594,84946.0,39.719626168,0.0,18128.0,30.72043248,10.359664607,1.3349514563,1.5225066196,0.7722859665,0.0220653133,56.641659312,39.877537511,8.0285240057,48.84157105,16.502096578
48005.0,Texas,Angelina,2020,182,8913.8128605,20.900429989,9.0500485909,15.856965822,40.7,6.2,34.5,65.127750055,15.738964327,22.222222222,478.3,41.766682669,21.657537309,59.22214,48.224869999999996,134.3407,4638.0,92.4,54.348025712,4.3881693408,26.7,88122.0,19834.0,38.567358205,11.27498434,311.67123784,68.612902417,9.8,,17.461878997,16.3,1375.0,461.76980326,59.584234453,5.9509640562,14.3,201.6,18.9,14.085150445,19.389602285,11.982851018,78.07835,46653.0,66.865877485,6.1916377045,87092.0,25.582143021,16.325265237,14.833739035,0.7589675286,1.0770219997,0.0700408763,22.492306986,60.307490929,4.3948232757,51.21480733,43.082366228
48007.0,Texas,Aransas,2020,176,8770.4408974,20.550540941,9.2635212888,14.157452328,40.5,5.8,36.3,80.602815442,15.891207446,4.7619047619,477.1,40.328253224,22.302433689,35.19474,29.42165,79.85878,3318.0,88.7,48.297351436,5.7106845065,34.7,102962.0,19557.0,35.869331614,5.0836852808,476.54828759,98.080649406,9.3,,13.821989529,28.9,492.0,443.71129771,0.0,0.0,18.7,141.9,16.5,17.313711127,20.163497157,12.978637646,46.23403,46912.0,96.309383589,5.7609991877,23792.0,17.535305985,29.627605918,1.260928043,1.2357094822,1.9964694015,0.0924680565,27.42938803,67.514290518,2.4240108677,50.609448554,27.260557907
48009.0,Texas,Archer,2020,58,8253.2505241,13.891397662,7.9777365492,14.062606986,26.8,7.6,19.3,22.509388116,19.251832626,50.0,204.3,23.406374502,18.978205491,0.0,0.0,0.0,4758.0,99.4,59.450726979,3.0831739962,14.3,116886.0,26571.0,23.622881356,9.0816210694,201.65162282,86.710478277,8.5,,9.4594594595,18.4,125.0,384.24107444,0.0,0.0,11.5,0.0,14.0,0.0,29.392553886,14.5153434,0.0,61190.0,29.387113672,0.0,8786.0,21.47735033,20.009105395,0.8650125199,1.4796266788,0.5235602094,0.034145231,8.1607102208,88.28818575,0.9450891255,50.762576827,88.988292467
48011.0,Texas,Armstrong,2020,53,0.0,12.287989974,8.6092715232,11.749550267,29.3,6.5,23.2,2.524986849,19.849309985,0.0,6120.3,29.411764706,17.614424411,0.0,0.0,0.0,5488.0,100.0,73.449131514,2.807775378,15.3,124750.0,34021.0,25.252525253,26.609898882,152.82730515,115.19530841,6.8,,10.0,48.3,25.0,347.99222593,0.0,0.0,9.2,0.0,13.1,0.0,0.0,14.798206278,52.854119999999995,57210.0,42.741935484,0.0,1892.0,23.097251586,23.942917548,0.8456659619,1.4799154334,0.2114164905,0.0,7.9809725159,89.059196617,1.0027855153,51.479915433,100.0
48013.0,Texas,Atascosa,2020,102,7753.5547113,23.67838846,7.9890962466,14.394469898,36.7,8.3,32.1,41.16586137,17.596359671,18.644067797,818.7,47.178095314,19.01973021,16.33286,41.7412,39.753530000000005,5400.0,92.5,41.339473259,3.7652374453,23.9,105098.0,23811.0,37.038410203,6.9414670995,222.3809038,66.722063718,9.6,,13.880742913,50.5,611.0,380.09974779,48.233897299,4.9250535332,17.1,128.1,8.8,11.479660742,19.832107887,10.409028826,43.72888,50594.0,62.907510263,9.1760499177,50310.0,27.280858676,14.67899026,0.7414032995,1.3138541046,0.6221427152,0.12721129,64.65712582,33.132578016,4.0646273539,50.141125025,60.711184342
48015.0,Texas,Austin,2020,44,7371.1545231,17.116888869,7.949790795,13.560554297,31.5,7.6,29.3,26.494703874,19.415096651,10.0,248.4,29.611078374,20.244660999,20.14369,40.01467,33.34556,4223.0,96.8,60.976716057,3.6318230467,16.9,117074.0,25103.0,25.439093484,12.421943195,237.77981589,71.520140341,10.2,,14.527629234,41.7,379.0,339.45363598,45.335658239,0.0,10.4,216.2,14.7,0.0,19.448158502,13.109310665,50.01834,59942.0,54.045365244,0.0,29989.0,23.772049752,19.003634666,8.61982727,0.7969588849,0.7702824369,0.0433492281,27.560105372,61.679282404,5.2150440885,50.135049518,66.344089805
48017.0,Texas,Bailey,2020,180,9061.6555016,26.991707829,7.4576271186,16.253688372,31.3,8.3,24.6,82.121423587,16.271789238,40.0,395.6,62.708102109,27.337038909,42.39084,42.69247,28.461650000000002,5380.0,100.0,44.587352626,4.3691148776,26.1,91974.0,25580.0,36.907114625,7.0651405963,160.18944143,79.084875018,6.8,,14.470842333,26.3,76.0,370.82221237,0.0,0.0,6.1,0.0,11.2,0.0,28.197949606,15.256466462,85.38494,45051.0,83.136710618,0.0,7027.0,31.393197666,14.586594564,1.2523125089,3.3584744557,0.8680802618,0.1280774157,64.095631137,33.001280774,13.346462657,50.206346947,28.750872296
