FIPS,State,County/Borough/Parish,Year,Health_Outcomes_Rank,Yrs_Potential_Life_Lost_per_100K,Percent_Fair/Poor_Health,Percent_Low_Birthweight_Births,Percent_Adult_Smokers,Percent_Adult_Obesity,Healthy_Food_Access_Index,Percent_Adults_Physical_Inactivity,Percent_Access_to_Excercise_Opportunities,Percent_Adults_Excessive_Drinking,Percent_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,Percent_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate_per_100K_Medicare,Graduation_Rate,Percent_Adults_with_Some_Post-secondary_Ed,Percent_Unemployed_&_Looking_for_Work,Percent_Children_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,Percent_Children_Living_in_Single_Parent_Household,Associations_per_10K,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,County_Affected_by_Water_Violation,Percent_Households_with_One_or_More_Severe_Problems,Percent_Lone_Commuters_who_Commute_More_Than_30Min,Premature_Deaths,Premature_Age_Adjusted_Mortality_per_100K,Child_Mortality_per_100K,Infant_Mortality_per_1K_live_births,Percent_Adults_Diagnosed_Diabetes,HIV_per_100K,Percent_Pop_w/o_Adequate_Access_to_Food,Drug_Overdose_Deaths_per_100K,Motor_Vehicle_Deaths_per_100K,Percent_Children_w/o_Health_Insurance,Other_Primary_Care_Providers_per_100K,Median_Household_Income,Percent_Children_Enrolled_in_Reduced_Lunch,Homicide_per_100K,Resident_Population,Percent_under_18_years_of_age,Percent_Age_65_and_over,Number_Non-Hispanic_Black_or_African_American,Percent_Non-Hispanic_Black_or_African_American,Number_American_Indian_or_Alaskan_Native,Percent_American_Indian_or_Alaskan_Native,Number_Asian,Percent_Asian,Number_Native_Hawaiian_Other_Pacific_Islander,Percent_Native_Hawaiian_Other_Pacific_Islander,Number_Hispanic,Percent_Hispanic,Number_Non-Hispanic_White,Percent_Non-Hispanic_White,Number_Not_Proficient_in_English,Percent_Not_Proficient_in_English,Percent_Female,Number_Pop_Living_in_Rural_Area,Percent_Rural
1000,Alabama,0,2017,0,9573.2,21.22537792,10.17932589,21.40494681,34.04080629,6.5,27.68450452,62.80669058,12.96529603,29.43237561,600.2,41.41500086,14.16138376,64.44127,45.77093,79.48172,61.13,89.32253684,58.98650455,6.102682405,26.5,90487,17254,38.19709176,12.4284006,436.0252882,75.59945464,10.1,0,15.44174233,33,76851,463.5,72.4540888,8.891091145,13.71961529,297.4,18.8,14.14515862,18.41593033,3.978031545,59.14823,44833,51.76930163,8.5,4858979,22.71045008,15.72680187,1285257,26.45117421,33980,0.69932387,67196,1.382924273,5067,0.104281167,203325,4.184521069,3204583,65.95177711,55798,1.230232346,51.57040193,1957932,40.9631829
2000,Alaska,0,2017,0,7403.4,13.72335236,5.838838512,19.10308243,28.71594675,7.2,18.61374512,66.99440041,22.13262898,33.75,787.5,36.56958876,19.0114665,86.46292,93.17039,337.60725,35.99,75.78051558,65.70016619,6.484286099,14.5,130608,32439,31.50234868,11.49671794,626.5110767,83.17726226,0,0,20.8674077,16.2,7760,347,61.49395555,5.391922195,6.893124123,104.3,14.4,15.880226,8.475262778,11.436502,128.10929,73391,43.12813553,5.6,738432,25.22452982,9.8637383,26025,3.524359724,109515,14.83074948,46191,6.255281461,9612,1.301677067,51826,7.018384902,454152,61.50221009,11254,1.658849507,47.31742395,241338,33.98021207
4000,Arizona,0,2017,0,6787.7,18.52395739,7.014706472,14.0439935,26.08884708,6.9,19.38829386,85.79320111,15.96248167,27.60278913,488.9,40.58859254,16.07067723,65.94385,58.93324,117.6468,36.97,77.55657707,62.61534033,6.127688405,24.7,99740,21440,36.44804307,5.606490337,414.954014,75.76320138,6,0,19.91380802,34.8,72693,324,50.53800764,6.05358264,9.603966605,242.8,17.1,18.36405544,12.14610912,10.565604,74.70638,51473,43.02220416,5.7,6828065,23.76734844,16.40368098,284418,4.165426076,362968,5.315825201,231462,3.389862282,18166,0.26604902,2098410,30.73213275,3810113,55.80077225,319805,5.151420895,50.33014478,651358,10.19017941
5000,Arkansas,0,2017,0,9150.7,22.66209005,8.917398584,24.88335073,34.43000453,6.2,30.93061367,61.33433793,15.25189931,28.44461598,527.3,50.04298468,13.84218091,65.3324,44.25486,194.91613,61.95,85.08364307,56.0992231,5.224110632,26.4,83773,17256,36.16691961,11.98434854,469.8546109,77.56038514,10.1,0,14.90406957,25.9,45678,453.3,67.17104367,7.46488236,12.43722034,204.4,19.1,11.98345093,19.04016135,5.180895183,56.37626,42046,62.26558411,7.2,2978204,23.68205805,16.02136724,459044,15.41345052,29268,0.982739933,46911,1.575143946,8757,0.294036272,213957,7.184094844,2175903,73.06091188,45399,1.641069278,50.88126938,1278329,43.83967588
6000,California,0,2017,0,5213.2,17.75899439,6.765103369,11.67835525,22.68394472,7.8,17.43401164,93.50885313,17.98231751,28.95156998,459.9,29.31024614,14.05281612,78.08002,80.23284,288.7713,35.74,82.26506922,62.79747341,6.233111758,21.2,127927,24548,32.11192539,5.788029122,407.0120202,46.55826206,8,0,28.18593801,38.5,326472,268.6,38.55634323,4.86184962,8.652149589,376.2,13.9,11.72344245,8.254191817,5.774699809,48.18518,64483,58.67663972,5,39144818,23.30044299,13.25527685,2228779,5.693675725,648172,1.65583092,5736988,14.65580451,196652,0.502370454,15184548,38.79069766,14882158,38.01820716,3762718,10.47828096,50.33041666,1880350,5.047383424
8000,Colorado,0,2017,0,5711.5,13.71494366,8.787121009,15.64759102,20.19478569,7.7,14.41128683,91.34959147,19.09233845,34.68801314,415,29.94143784,11.71050635,80.77125,74.71721,285.49049,32.09,77.33406739,71.01837951,3.883070211,14.8,117415,26052,28.43009373,8.769823592,308.6489438,71.98736715,5.4,0,17.46039371,33.3,48247,279.3,43.91956365,5.684905917,6.152077167,266,12.9,16.2554031,9.657407721,5.851212296,86.3179,63945,41.60338284,3.6,5456574,23.03762397,13.04160816,216697,3.971301406,86567,1.586471658,176793,3.240000044,10525,0.192886599,1164274,21.33708807,3747011,68.66966342,156646,3.169667861,49.71637881,696435,13.84783969
9000,Connecticut,0,2017,0,5236.7,14.25233605,7.871690196,13.4816023,25.13595546,8,20.27190275,94.40149498,18.59600694,33.41176471,372.1,16.90023158,8.019782905,84.74489,81.34483,326.57678,46.31,87.31786962,68.06885913,5.640033411,14.6,140726,27424,31.51671262,9.308592348,260.7968911,57.57824177,8.2,0,19.21525243,32.5,32985,265.9,36.07372893,5.551666617,8.617132862,335.5,13.1,18.59297456,7.604440595,3.856140797,96.54999,71333,37.70583984,3.4,3590886,21.27772923,15.78457239,358177,9.974613508,19132,0.5327933,166341,4.6323108,3942,0.109777921,553781,15.42184854,2448089,68.17506877,130562,3.838052877,51.21685846,429155,12.00736857
10000,Delaware,0,2017,0,7158.2,16.66329393,8.473611656,17.36034863,29.37501532,7.9,24.08300206,84.91448147,16.63406574,37.92486583,483.2,29.03837197,9.296608396,72.3589,45.77486,218.83133,50.2,85.50970874,62.29263932,4.89740562,19.1,114899,26401,38.38881795,10.22857717,509.0958824,64.64394873,9,0,15.89490773,33.1,11277,339.8,57.75530107,7.771439958,10.65173199,392.2,12.6,19.69866388,12.02269736,5.384910868,97.04694,61327,37.05906527,6.1,945934,21.60679286,16.96894287,202070,21.36195549,6189,0.654273977,36972,3.90851793,866,0.091549728,85305,9.018071028,598243,63.24363011,19760,2.269589567,51.60243738,149985,16.70334345
12000,Florida,0,2017,0,6720.8,17.08371053,8.662645094,15.8020056,25.73181969,7.1,23.13368415,91.98802105,17.44395626,28.17457186,430.6,30.60727596,20.17711325,72.52694,55.76364,133.78539,55.07,77.88487882,61.29178717,5.395838859,23.4,96127,20518,38.41410104,7.234597664,499.6177489,69.27132348,7.4,0,22.04685584,38.8,236078,326.2,52.85440015,6.657139555,10.54810964,606.1,16.2,13.95907382,12.95053794,9.665685325,78.59892,49416,58.40184249,5.9,20271272,20.25096896,19.44854768,3155401,15.56587569,101060,0.49853803,576690,2.844863411,22857,0.112755628,4964077,24.48823636,11209143,55.29570616,1191087,6.41586472,51.14988837,1661466,8.836969339
13000,Georgia,0,2017,0,7342.3,17.4527923,9.469665488,17.73532677,29.5782897,6.6,23.36336625,75.17034312,16.82326578,23.38879018,519.9,38.53767091,18.00676314,65.5519,49.19304,111.54338,51.83,79.55229924,61.59388742,5.867913672,24.7,100802,20130,37.40607126,8.93106236,373.978801,58.81350792,10.1,0,18.44123027,39.4,121405,376.8,58.15207499,7.137369479,11.02381536,512.7,17.7,11.89927393,12.85833321,7.865220011,79.13961,51225,62.41056365,6.5,10214860,24.51499091,12.77476148,3151631,30.85339398,51405,0.50323744,409119,4.005135655,12229,0.119717745,955434,9.353373419,5501469,53.85750759,283178,3.031433873,51.24865147,2415502,24.9338204
