FIPS,State,County,Year,Yrs_Potential_Life_Lost_per100K(YPLL),Percent_Fair/Poor_Health,Percent_Low_Birthweight_Births,Percent_Adult_Smokers,Percent_Adult_Obesity,"Healthy_Food_Access(0=Worst,10=Best)",Percent_Adults_Physical_Inactivity,Percent_Access_to_Excercise_Opportunities,Percent_Adults_Excessive_Drinking,Percent_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,Percent_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate(per100K_Medicare_Enrollees),Graduation_Rate,Percent_Adults(25-44)_with_Some_Post-secondary_Ed,Percent_Ppl(16+)_Unemployed_&_Looking_for_Work,Percent_Children(under18)_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,Percent_Children_Living_in_Single_Parent_Household,Associations_per_10K,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,"County_Affected_by_Water_Violation(1=Yes,0=No)","%_Households_with_One_or_More Problems(overcrowding,high-housing-cost,lack-kitchen,lack-plumbing-facilities)",Percent_Lone_Commuters_who_Commute_More_Than_30Min,Premature_Deaths,Premature(under75)_Age_Adjusted_Mortality_per_100K,Child(under18)_Mortality_per_100K,Infant(within1yr)_Mortality_per_1K_live_births,Percent_Adults(20+)_Diagnosed_Diabetes,Ppl(Age13+)_diagnosed_HIV_per_100K,Percent_Pop_w/o_Adequate_Access_to_Food,Drug_Overdose_Deaths_per_100K,Motor_Vehicle_Deaths_per_100K,Percent_Children(under19)_w/o_Health_Insurance,Other_Primary_Care_Providers(non_physician)_per_100K,Median_Household_Income,Percent_Children_Enrolled_in_Free/Reduced_Lunch,Homicide_per_100K,Resident_Population,Percent_under_18_years_of_age,Percent_Age_65_and_over,Number_Non-Hispanic_Black_or_African_American,Percent_Non-Hispanic_Black_or_African_American,Number_American_Indian_or_Alaskan_Native,Percent_American_Indian_or_Alaskan_Native,Number_Asian,Percent_Asian,Number_Native_Hawaiian/Other_Pacific_Islander,Percent_Native_Hawaiian/Other_Pacific_Islander,Number_Hispanic,Percent_Hispanic,Number_Non-Hispanic_White,Percent_Non-Hispanic_White,Number_Not_Proficient_in_English,Percent_Not_Proficient_in_English,Percent_Female,Number_Pop_Living_in_Rural_Area,Percent_Rural
1000,Alabama,0,2019,9917.232898,21.40240566,10.14549259,21.5381544,35.1,5.8,28.2,61.64961831,14.17814586,28.59025033,543.6,33.11347994,10.7717996,65.3877,47.61273,90.50726,5496,89.3,59.86474992,4.396785166,24.4,95866,18300,38.10461622,12.24271585,479.9191819,79.90897905,11,0,14.91215019,33.7,80440,472.4,71.78604171,8.510565722,13.9,302.4,16.5,15.94160345,19.40428177,2.665389756,75.59367,48193,51.74145318,9.4,4874747,22.47240729,16.48846597,1292827,26.52090457,34108,0.699687594,71338,1.463419538,5239,0.107472244,211058,4.329619568,3196852,65.57985471,48998,1.074845655,51.59059537,1957932,40.9631829
2000,Alaska,0,2019,8162.453456,13.43787211,5.886556498,19.0354082,30.4,6.5,18.8,82.23803242,19.12504204,36.64772727,771.6,29.53221612,15.51729447,89.90503,98.67598,380.91633,2970,75.6,65.54229816,7.160695286,14.5,138118,34264,29.75425988,11.30889318,720.2632714,90.52041111,0,0,20.72956927,16,8323,360.4,67.77941224,5.55873561,7.6,109.3,13.4,17.88190824,9.405085586,10.47432258,140.84983,74058,44.05277713,6.8,739795,24.99719517,11.16255179,24684,3.336600004,112994,15.27369069,47754,6.455031461,10084,1.363080313,52250,7.062767388,449776,60.79738306,12034,1.758590556,47.71632682,241338,33.98021207
4000,Arizona,0,2019,6981.691345,17.75771344,7.114685535,14.71475109,27.2,6.5,20.2,85.7684202,17.28136271,26.57123686,511.5,29.99796872,11.93297486,65.12702,61.28612,126.64849,3130,79.5,63.09454933,4.869531723,21,105880,22786,35.71801798,5.567682109,435.4895552,80.77398653,5.8,0,18.96269396,35,78396,331.4,49.54279299,5.6128151,9.8,270,14.9,20.15845081,12.75406528,7.680590839,87.98122,56508,57.04767457,5.7,7016270,23.28145867,17.12798966,301263,4.293777178,373532,5.323797402,247790,3.531648583,19091,0.272096142,2202172,31.38664846,3849130,54.86006097,316471,4.964103809,50.28268582,651358,10.19017941
5000,Arkansas,0,2019,9483.291218,24.47233892,8.953319154,23.58488517,35.2,5.4,31.2,64.57064293,15.92173489,26.28304821,562,40.65601251,9.406440435,66.49381,45.76805,216.09178,5075,88,57.33309676,3.679836842,22.5,88896,18573,35.74456894,12.0806573,515.6334992,80.58954626,10,0,14.52911843,26.4,47840,463.3,67.80232611,7.690135011,13.3,214.8,17.2,13.81158347,18.76962216,4.032611603,73.8946,45916,34.59057102,7.7,3004279,23.48450327,16.61443561,463731,15.43568357,29722,0.98932223,49292,1.640726444,9653,0.321308374,227673,7.578290831,2177809,72.49023809,44281,1.588385107,50.86794535,1278329,43.83967588
6000,California,0,2019,5264.359459,17.5265863,6.78845182,10.97292811,22.7,8.9,17.4,92.94758656,17.81262457,29.75638392,506.2,21.67181254,8.379928998,78.47385,83.35809,327.80721,3507,83,64.22137825,4.758103269,18.1,139246,26498,31.44361281,5.825729961,420.8768822,48.93202861,9.5,0,27.337236,40.3,343591,270.2,37.41997674,4.376786022,8.5,376.4,11.7,12.02477832,8.901408147,3.106839931,56.49947,71785,58.11359095,5,39536653,22.91578905,13.92469413,2223693,5.624383531,650250,1.644676397,5993089,15.15831145,199449,0.504466071,15477304,39.14672292,14696754,37.17247892,3664918,10.04381503,50.30547224,1880350,5.047383424
8000,Colorado,0,2019,5887.236994,14.31880838,8.874938105,15.59333176,21,8.3,14,90.62969508,20.60369309,34.36711143,468.6,21.53939155,8.559236354,81.03896,79.32723,329.32928,2900,79.1,71.43266246,2.835170322,12.2,126445,28525,27.58461397,8.614675993,326.1349081,75.68538648,5.05,0,16.84440866,34.7,51587,281.9,44.06520297,4.759561906,6.2,253.6,11.3,17.01971535,10.14044111,4.294852666,99.83674,69113,42.12675094,3.8,5607154,22.5039833,13.76887455,224168,3.997892692,89116,1.589326778,188635,3.364184397,10546,0.188081155,1206724,21.52114959,3827750,68.26546943,156609,3.069399124,49.66549875,696435,13.84783969
9000,Connecticut,0,2019,5581.043795,13.84150297,7.834893489,13.34553388,25.5,8.6,19.3,93.57051585,18.37566878,33.04473305,387.4,12.06874469,5.769331657,84.72084,85.33565,364.75276,4220,87,68.65694903,4.676332864,13,148162,29573,31.715073,9.411562073,232.0465727,64.94215964,8,0,18.75963433,33.4,34691,273.8,35.13787913,4.910743911,8.7,338.7,11.6,26.43293371,7.59972348,2.836940643,112.28521,74428,35.66178203,3.2,3588184,20.72987338,16.78871541,363975,10.14371058,19480,0.542893007,173633,4.839021633,3845,0.10715727,578833,16.13164208,2404792,67.0197515,128113,3.758864416,51.17864636,429155,12.00736857
10000,Delaware,0,2019,7616.472475,15.83680926,8.644426278,17.65767891,30.6,8.4,25.4,84.74520399,18.40834197,33.78378378,567.2,22.28178845,6.746330682,71.42369,48.44382,243.36262,4791,86.9,62.19380694,4.592437415,17.7,121191,27469,36.75175163,10.15686954,499.0255229,72.07759048,9.3,0,15.41625487,34.2,12321,354,57.133,7.517342755,11.5,404.9,12,28.60201865,12.20680746,3.512768537,113.3128,64085,0,6.3,961939,21.25748098,18.10177153,208970,21.72383072,6228,0.647442301,39768,4.134149879,878,0.091273979,89539,9.308178585,599260,62.29708952,18463,2.078113569,51.60670271,149985,16.70334345
12000,Florida,0,2019,7214.381935,18.50474948,8.651368978,15.47759345,26.5,6.9,24.7,87.87143555,17.52202504,24.73270552,467.4,23.25921937,15.35173092,72.11665,58.68169,149.94949,5066,82.3,62.31001288,4.152820499,20.6,102555,21915,38.11169576,7.140348602,484.427687,75.60040803,8.2,0,20.79578166,40.4,256433,337.4,53.60623546,6.189036713,10.9,615.2,13.9,21.08355951,13.53431469,6.581925709,96.58127,52582,58.09938494,5.9,20984400,20.02431807,20.08461047,3269266,15.57950668,104511,0.498041402,613880,2.925411258,23660,0.112750424,5371385,25.59703875,11343977,54.05909628,1256824,6.555147489,51.12169516,1661466,8.836969339
13000,Georgia,0,2019,7718.314464,18.80016977,9.532727537,17.88638205,30.3,6,24.3,75.96916405,15.05168029,22.40977881,614.6,28.76645417,14.88510848,65.73963,50.9714,127.24631,4851,80.6,62.56055406,4.737530804,21.5,107344,21684,37.18234176,8.873589515,387.5348312,63.16104578,10.9,0,17.70568717,40.7,129112,381.5,60.55650531,7.105178871,11.6,588,15.1,13.67486135,13.32310906,6.665977884,95.2981,56117,61.95977555,6.9,10429379,24.1116753,13.49850264,3267577,31.33050395,53646,0.514373866,440104,4.219848564,12198,0.116958066,1005959,9.645435265,5507334,52.80596285,276378,2.895767034,51.33452337,2415502,24.9338204
