FIPS,State,County,Premature_Deaths,Yrs_Potential_Life_Lost_per100K(YPLL),%_Fair/Poor_Health,%_Low_Birthweight_Births,%_Adult_Smokers,%_Adult_Obesity,"Healthy_Food_Access(0=Worst,10=Best)",%_Adults_Physical_Inactivity,%_Access_to_Excercise_Opportunities,%_Adults_Excessive_Drinking,%_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,%_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate(per100K_Medicare_Enrollees),Graduation_Rate,%_Adults(25-44)_with_Some_Post-secondary_Ed,%_Ppl(16+)_Unemployed_&_Looking_for_Work,%_Children(under18)_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,%_Children_Living_in_Single_Parent_Household,Associations_per_10K,Annual_Avg_Violent_Crimes,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,"County_Affected_by_Water_Violation(1=Yes,0=No)","%_Households_with_One_or_More Problems(overcrowding,high-housing-cost,lack-kitchen,lack-plumbing-facilities)",%_Lone_Commuters_who_Commute_More_Than_30Min,Premature(under75)_Age_Adjusted_Mortality_per_100K,Child(under18)_Mortality_per_100K,Infant(within1yr)_Mortality_per_1K_live_births,%_Adults(20+)_Diagnosed_Diabetes,#_Ppl(Age13+)_diagnosed_HIV_per_100K,%_Pop_w/o_Adequate_Access_to_Food,Drug_Overdose_Deaths_per_100K,Motor_Vehicle_Deaths_per_100K,%_Children(under19)_w/o_Health_Insurance,Other_Primary_Care_Providers(non_physician)_per_100K,Median_Household_Income,%_Children_Enrolled_in_Free/Reduced_Lunch,#_Deaths_due_to_Homicide_per_100K,Resident_Population,%_under_18_years_of_age,%_Age_65_and_over,#_Non-Hispanic_Black_or_African_American,%_Non-Hispanic_Black_or_African_American,#_American_Indian_or_Alaskan_Native,%_American_Indian_or_Alaskan_Native,#_Asian,%_Asian,#_Native_Hawaiian/Other_Pacific_Islander,%_Native_Hawaiian/Other_Pacific_Islander,#_Hispanic,%_Hispanic,#_Non-Hispanic_White,%_Non-Hispanic_White,#_Not_Proficient_in_English,%_Not_Proficient_in_English,%_Female,#_Pop_Living_in_Rural_Area,%_Rural,Year
1000,Alabama,0,81791,9942.794667,22.02870285,10.2548706,20.92735311,35.5,5.8,29.8,61.11228737,13.90351529,27.58917061,614.1,30.89461645,11.04478259,64.82388,48.18049,101.23017,5805,89.3,60.41190154,3.933566911,23.9,99688,18948,37.34273923,12.37192412,23306.5,479.9191819,82.25024507,11,0,14.34070208,34.3,474.782349,69.4996753,8.365563603,14.2,309.9,16.3,16.17676238,19.64988604,3.032001518,86.02928,49881,55.87415303,9.926443407,4887871,22.29682412,16.91726316,1295175,26.49773286,34375,0.703271424,73167,1.496909391,5207,0.106528998,217181,4.443263744,3197324,65.41342846,48517,1.061047926,51.63303205,1957932,40.9631829,2020
2000,Alaska,0,8336,8048.675016,18.08017613,5.861343446,21.00785366,32.5,6.3,20,100,21.29393789,38.05774278,802.1,27.10852815,14.75762792,90.97115,99.94061,432.71434,2904,78.51122169,65.03281281,6.587537757,14.5,140179,34114,29.64141782,11.35449685,5325,720.2632714,93.22492462,0,0,20.51671429,16.1,355.8035858,67.75898278,5.812836895,7.9,114.3,13.6,17.34916478,9.591402383,9.101734213,151.60597,74912,44.5527782,7.111201363,737438,24.92629889,11.79909362,24861,3.371266466,113516,15.39329408,49025,6.648016511,10221,1.386014824,53288,7.226099008,444411,60.26418492,11721,1.712905319,47.85012435,241338,33.98021207,2020
4000,Arizona,0,80394,7074.5178,18.55504464,7.194695012,15.55500301,27.5,6.6,21.8,85.14450134,16.70870284,25.42116631,564.4,27.3501953,12.10220861,66.45981,61.5061,133.35851,3096,78.04178055,63.51478681,4.831880615,20.4,110536,24117,35.53629878,5.663978154,29749.5,435.4895552,82.88700538,5.8,0,18.45691162,35.5,332.4968477,49.0621759,5.552345091,9.7,273.1,14,21.70558654,12.95487951,7.691470587,97.3835,59079,55.08831397,5.658357052,7171646,22.90488125,17.54478679,313875,4.376610335,380160,5.300875141,263696,3.676924377,19789,0.275933865,2266343,31.60143432,3902867,54.42079824,316488,4.861131484,50.28562481,651358,10.19017941,2020
5000,Arkansas,0,48017,9449.42482,23.19868077,8.991426544,22.28625875,34.2,5.2,31.6,63.52819249,15.80533385,26.31578947,576.5,37.76539763,9.303267799,66.57171,46.38624,226.29051,5129,88,58.36982176,3.702410214,23.8,92621,19400,36.09561833,12.14268049,15352,515.6334992,81.90128704,10,0,14.3230718,26.6,460.3091307,68.28485818,7.696351513,13.4,222.3,17.3,14.3343276,18.51920299,4.338232761,84.80917,47094,35.33952925,7.962825828,3013825,23.33181256,16.98263834,464640,15.41695354,30225,1.002878402,50301,1.669008652,10881,0.361036225,233187,7.7372442,2176611,72.2208821,44593,1.592402405,50.88822344,1278329,43.83967588,2020
6000,California,0,347916,5259.870068,17.2182085,6.817937716,11.33626274,23.6,8.9,17.6,93.07005141,19.2207998,29.62921285,553.4,19.4895356,8.2071999,79.27581,84.57659,353.25692,3598,83,64.99325423,4.203526593,17.4,147074,27973,31.12598103,5.879607462,164252.5,420.8768822,50.1765152,9.5,0,26.86207996,41.2,269.5745254,36.79971277,4.272680333,8.6,385.1,11,12.56509482,9.253846838,3.133188756,62.88387,75250,60.14702591,4.91812326,39557045,22.72655857,14.33126514,2223274,5.620424883,651076,1.645916676,6063600,15.32874865,199872,0.505275356,15540142,39.28539657,14568608,36.82936377,3597443,9.810829751,50.29058161,1880350,5.047383424,2020
8000,Colorado,0,52817,5944.206219,14.47401704,8.975466066,14.62950476,21.8,8.4,15.5,90.46113932,20.46852033,34.07458091,481.4,19.44366533,8.667530638,82.00238,79.62337,355.62764,2833,80.74863877,71.73302119,3.281526332,12.1,132184,30158,27.04084085,8.751320189,17768.5,326.1349081,78.01645831,5.05,0,16.52966078,35.5,282.0044865,44.35631319,4.626141015,6.3,264.2,10.6,17.52629523,10.43775274,4.517665874,108.57573,71949,41.68891819,3.930556461,5695564,22.21439352,14.19049984,229085,4.02216532,91120,1.599841561,197634,3.469963642,10933,0.191956407,1235117,21.68559602,3868329,67.91827816,157143,3.024340918,49.64733958,696435,13.84783969,2020
9000,Connecticut,0,35163,5673.931967,13.80070984,7.818107065,12.73098058,25.8,8.5,20.4,94.01927256,17.11073048,31.99713672,494.7,10.92910893,6.271727568,83.18971,85.00657,393.23586,4117,87.97176025,68.90460057,4.106569367,13.8,153834,30330,31.96532791,9.489479915,8322.5,232.0465727,68.14556585,8,0,18.14182319,33.7,275.7345356,35.07575161,4.78012978,8.9,335.1,11.3,28.98307498,7.880916995,2.910454756,124.64085,76366,36.26676416,3.002633357,3572665,20.5782798,17.21742733,364858,10.21248844,19943,0.558210747,173799,4.864687845,3840,0.10748279,589809,16.50893661,2376351,66.51480058,128979,3.797385619,51.20183393,429155,12.00736857,2020
10000,Delaware,0,12674,7777.261596,17.99469167,8.724551212,17.03005972,30.9,8.1,27.7,86.47016373,16.8261389,30.29801325,560.5,20.44904711,6.079223296,71.83408,46.52745,262.20803,5045,86.9,61.74576071,3.757371001,17.6,124979,28421,36.91552082,10.31250422,4710,499.0255229,76.48985675,9.3,0,14.83551214,34.4,358.6843115,57.5444439,7.102696947,11.5,395.7,12.2,35.43693111,12.47433225,2.870894918,124.69357,65467,0,6.312859886,967171,21.05274042,18.7232661,211504,21.86831491,6458,0.6677206,39584,4.092761259,1049,0.108460655,91974,9.509590341,599061,61.93951225,17951,2.006503167,51.61900016,149985,16.70334345,2020
12000,Florida,0,263456,7259.686771,17.47746618,8.650626483,16.09237241,26.6,6.9,25.9,88.73996546,17.12921818,23.33580131,476.6,21.39904632,15.95432972,72.51101,59.03943,160.78913,5086,82.3,62.78249908,3.567241166,20,106836,22927,37.77427905,7.094794228,98110.5,484.427687,78.93986161,8.2,0,20.07308008,41.5,339.1775617,52.95840263,6.127175977,10.6,610.8,13.4,23.07612909,13.83276221,7.225790872,110.34152,55433,57.29100585,5.949363016,21299325,19.8554696,20.46107564,3309386,15.53751586,106984,0.502288218,631737,2.965995401,24353,0.114336957,5562417,26.11546141,11399170,53.51892607,1271573,6.527341214,51.11686873,1661466,8.836969339,2020
13000,Georgia,0,131683,7702.898317,18.02498177,9.636901938,17.45379888,32,6,27.5,75.49383736,14.39644718,21.51195108,624.2,26.25204119,15.53021371,65.44973,51.02916,137.75402,4930,83.07084202,63.13372142,3.940248328,21,112387,22825,37.02371025,8.99861823,39543.5,387.5348312,64.92742454,10.9,0,16.94213675,41.6,381.2618562,59.98307122,7.138444116,11.8,602.4,14.4,13.86790619,13.5149994,7.452609222,105.85129,58634,60.89302274,7.077153706,10519475,23.8201146,13.88290766,3313815,31.50171468,54882,0.521718052,453488,4.310937571,12432,0.118180803,1026737,9.760344504,5511319,52.39157848,270040,2.800758458,51.37194584,2415502,24.9338204,2020
