FIPS,State,County,Year,Yrs_Potential_Life_Lost_per100K(YPLL),Percent_Fair/Poor_Health,Percent_Low_Birthweight_Births,Percent_Adult_Smokers,Percent_Adult_Obesity,"Healthy_Food_Access(0=Worst,10=Best)",Percent_Adults_Physical_Inactivity,Percent_Access_to_Excercise_Opportunities,Percent_Adults_Excessive_Drinking,Percent_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,Percent_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate(per100K_Medicare_Enrollees),Graduation_Rate,Percent_Adults(25-44)_with_Some_Post-secondary_Ed,Percent_Ppl(16+)_Unemployed_&_Looking_for_Work,Percent_Children(under18)_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,Percent_Children_Living_in_Single_Parent_Household,Associations_per_10K,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,"County_Affected_by_Water_Violation(1=Yes,0=No)","%_Households_with_One_or_More Problems(overcrowding,high-housing-cost,lack-kitchen,lack-plumbing-facilities)",Percent_Lone_Commuters_who_Commute_More_Than_30Min,Premature_Deaths,Premature(under75)_Age_Adjusted_Mortality_per_100K,Child(under18)_Mortality_per_100K,Infant(within1yr)_Mortality_per_1K_live_births,Percent_Adults(20+)_Diagnosed_Diabetes,Ppl(Age13+)_diagnosed_HIV_per_100K,Percent_Pop_w/o_Adequate_Access_to_Food,Drug_Overdose_Deaths_per_100K,Motor_Vehicle_Deaths_per_100K,Percent_Children(under19)_w/o_Health_Insurance,Other_Primary_Care_Providers(non_physician)_per_100K,Median_Household_Income,Percent_Children_Enrolled_in_Free/Reduced_Lunch,Homicide_per_100K,Resident_Population,Percent_under_18_years_of_age,Percent_Age_65_and_over,Number_Non-Hispanic_Black_or_African_American,Percent_Non-Hispanic_Black_or_African_American,Number_American_Indian_or_Alaskan_Native,Percent_American_Indian_or_Alaskan_Native,Number_Asian,Percent_Asian,Number_Native_Hawaiian/Other_Pacific_Islander,Percent_Native_Hawaiian/Other_Pacific_Islander,Number_Hispanic,Percent_Hispanic,Number_Non-Hispanic_White,Percent_Non-Hispanic_White,Number_Not_Proficient_in_English,Percent_Not_Proficient_in_English,Percent_Female,Number_Pop_Living_in_Rural_Area,Percent_Rural
48001,Texas,Anderson,2018,10118.88261,19.52958459,7.590041093,18.46577468,33,5.7,26.5,34.34431558,18.56160161,21.05263158,355.7,54.21994885,19.07874776,34.73428,36.37371,41.56996,57.09,91.1,38.24769223,4.286135321,24.4,82783,18618,34.20745397,10.59395624,319.7633069,75.41452041,9.2,No,15.35219747,24.3,1062,537.4,38.11659193,0,11.4,756.6,20.2,11.56463765,19.2196336,11.45669977,38.1058,43967,61.25174176,5.913733414,57734,19.48591818,14.21172966,11988,20.76419441,395,0.684172238,529,0.916271175,82,0.142030693,10086,17.46977518,34306,59.42079191,1289,2.351417418,38.86617937,39204,67.06353279
48003,Texas,Andrews,2018,8133.116006,17.30770992,6.475832942,13.33784843,28.8,8.2,26.8,70.60733126,21.10309894,41.50943396,394.8,72.19774841,19.52073733,38.66335,22.52252,11.26126,58.24,95.7,41.64127122,4.826947563,15.4,122272,29636,20.34191318,6.628003314,578.5572229,88.10776971,7.2,Yes,11.36783734,26.3,179,373.4,0,0,9.6,79.3,8.2,0,42.92250771,13.845111,67.56757,60644,39.66297787,0,17760,31.07545045,10.24211712,246,1.385135135,280,1.576576577,122,0.686936937,4,0.022522523,9953,56.04166667,7189,40.4786036,1250,7.988241309,49.03153153,2440,16.50209658
48005,Texas,Angelina,2018,8802.202512,23.20734036,8.613121367,18.28213851,39.6,6.1,32.7,73.32864667,18.16406315,19.78021978,549.3,49.63191641,21.89910979,62.31942,45.56276,123.01944,53.16,92.4,53.80696682,5.986980089,26.7,83568,18280,40.21700931,11.10418673,344.0310796,66.76784388,9.3,Yes,16.63424125,14.8,1299,446.7,54.55954083,5.688414209,12.9,195.9,20.1,10.99334334,19.8932288,12.4132711,59.23158,43658,64.09090909,5.870133089,87791,25.84547391,15.67928375,13039,14.85231971,673,0.766593387,984,1.120843822,49,0.055814377,19042,21.69015047,53686,61.15205431,3833,4.69862829,51.12938684,37383,43.08236623
48007,Texas,Aransas,2018,11303.97773,19.51767773,10.13363029,15.65917612,30,5.9,27.8,89.5845928,16.13909769,11.76470588,636.7,51.13506077,21.72309386,59.1716,31.10299,73.8696,35.86,91.4,47.62530094,5.730830671,32.9,103852,19579,28.5012285,7.889546351,313.5701613,106.265648,7.7,No,15.91623037,27,519,475.3,58.90227577,0,13.8,141.8,16.5,18.41063609,20.49792385,13.80855397,34.99086,44866,54.27312775,0,25721,18.43240932,27.5183702,381,1.481279888,325,1.26355896,508,1.975039851,20,0.077757474,6901,26.83021656,17456,67.86672369,384,1.634599012,50.44904942,6313,27.26055791
48009,Texas,Archer,2018,7522.065648,13.24828016,7.663551402,14.03073102,27.4,7.4,24.8,22.76341948,19.84231359,57.89473684,1316.5,27.83203125,17.56546355,0,0,11.49029,51.79,98.5,62.71645022,4.442808051,14.2,107583,26328,14.21161826,12.62191624,154.8641419,89.3573147,8,Yes,9.895052474,21.1,126,393.5,0,0,10.7,0,16,0,24.37399457,12.75406504,11.49029,58928,30.47001621,0,8703,21.72813972,18.79811559,69,0.792830059,116,1.332873722,39,0.448121338,3,0.034470872,736,8.456853958,7667,88.09605883,124,1.485207809,50.22406067,8057,88.98829247
48011,Texas,Armstrong,2018,0,11.75416225,8.108108108,12.55990212,29.2,6.3,26.4,2.524986849,20.0673843,28.57142857,1688,37.43315508,18.0794702,0,0,0,0,96.2,70.79889807,2.774922919,15.7,121917,27175,17.78290993,20.54442732,135.5932203,165.4430772,6.8,No,6.766917293,46.8,40,580.3,0,0,11.1,0,14.5,0,0,15.2892562,53.3049,54868,44.19263456,0,1876,23.40085288,21.53518124,18,0.959488273,26,1.385927505,2,0.106609808,0,0,173,9.221748401,1646,87.73987207,5,0.276701716,49.78678038,1901,100
48013,Texas,Atascosa,2018,8907.9182,22.39260935,8.322552825,14.34795536,29.8,8.6,33.3,42.26581461,17.90773267,14.70588235,454.2,50.01618647,18.73972338,22.71085,36.88751,36.88751,68.3,94.1,44.85436893,5.332891686,24.8,101785,22963,38.23925737,7.845566223,176.6500723,68.33092289,8.8,No,16.62269129,46.9,615,396.9,39.32731563,4.761904762,11.8,128.7,8.1,0,22.18608963,10.00502765,40.98613,53622,59.83457,8.509733007,48797,27.5734164,14.42506712,345,0.707010677,600,1.229583786,311,0.637334262,56,0.114761153,31210,63.95884993,16543,33.90167428,1752,3.956282179,50.3739984,27266,60.71118434
48015,Texas,Austin,2018,7121.211248,16.91253159,7.670221493,14.46040477,28.6,7.7,26.3,66.20332899,18.32994585,18.18181818,271.3,35.82577672,17.78846154,23.67825,36.96485,26.88353,46.36,95.7,60.01545595,5.32984145,22,107441,22503,29.02679831,12.85390522,240.0753538,78.82111035,9.3,Yes,12.28558183,39.6,370,332.8,42.25500898,0,10,224.5,15.3,0,22.16945345,12.99366491,36.96485,55973,50.58759718,4.926545211,29758,24.2523019,18.37825123,2591,8.706902346,256,0.860272868,207,0.695611264,11,0.03696485,7893,26.52395994,18692,62.81336111,1136,4.157669363,50.71241347,18853,66.34408981
48017,Texas,Bailey,2018,6889.004249,27.30711066,7.631874299,17.52428659,28.2,8.7,27.7,83.25191905,15.61075944,33.33333333,318.4,76.24633431,29.23609965,41.60888,41.77691,0,61.88,95.8,43.18302387,4.396010344,26.5,69450,22942,26.08290638,16.64355062,156.9496376,75.96005064,7,No,23.33333333,21.1,78,363.7,0,0,9.9,0,9.9,0,32.02754369,15.83011583,69.62819,40536,83.78746594,0,7181,32.18214733,14.21807548,76,1.058348419,231,3.21682217,52,0.724133129,9,0.125330734,4601,64.07185629,2396,33.36582649,1225,18.50453172,49.54741679,2060,28.7508723
48019,Texas,Bandera,2018,5787.924364,15.91128044,9.019947962,13.67991556,28.2,6.9,25.1,61.95264828,17.02804253,37.5,95.7,22.15995925,17.21803551,28.21007,13.77663,50.51433,46.63,97.6,64.11290323,4.126781536,24.3,104529,23341,28.41163311,10.81386055,107.6668434,62.81227695,8.2,Yes,11.90198366,54.7,312,310.9,0,0,11.5,101.5,14.9,0,23.95652233,12.72678762,27.55327,55885,51.35891287,0,21776,16.72024247,26.02406319,172,0.789860397,246,1.129684056,157,0.720977223,8,0.036737693,3964,18.20352682,17072,78.39823659,113,0.56121182,50.60157972,20485,100
