FIPS,State,County,Premature_Deaths,Yrs_Potential_Life_Lost_per100K,Percent_Fair/Poor_Health,Percent_Low_Birthweight_Births,Percent_Adult_Smokers,Percent_Adult_Obesity,"Healthy_Food_Access(0=Worst,10=Best)",Percent_Adults_Physical_Inactivity,Percent_Access_to_Excercise_Opportunities,Percent_Adults_Excessive_Drinking,Percent_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,Percent_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate(per100K_Medicare_Enrollees),Graduation_Rate,Percent_Adults(25-44)_with_Some_Post-secondary_Ed,Percent_Ppl(16+)_Unemployed_&_Looking_for_Work,Percent_Children(under18)_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,Percent_Children_Living_in_Single_Parent_Household,Associations_per_10K,Annual_Avg_Violent_Crimes,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,"County_Affected_by_Water_Violation(1=Yes,0=No)","Percent_Households_with_One_or_More Problems(overcrowding,high-housing-cost,lack-kitchen,lack-plumbing-facilities)",Percent_Lone_Commuters_who_Commute_More_Than_30Min,Premature(under75)_Age_Adjusted_Mortality_per_100K,Child(under18)_Mortality_per_100K,Infant(within1yr)_Mortality_per_1K_live_births,Percent_Adults(20+)_Diagnosed_Diabetes,Number_Ppl(Age13+)_diagnosed_HIV_per_100K,Percent_Pop_w/o_Adequate_Access_to_Food,Drug_Overdose_Deaths_per_100K,Motor_Vehicle_Deaths_per_100K,Percent_Children(under19)_w/o_Health_Insurance,Other_Primary_Care_Providers(non_physician)_per_100K,Median_Household_Income,Percent_Children_Enrolled_in_Free/Reduced_Lunch,Number_Deaths_due_to_Homicide_per_100K,Resident_Population,Percent_under_18_years_of_age,Percent_Age_65_and_over,Number_Non-Hispanic_Black_or_African_American,Percent_Non-Hispanic_Black_or_African_American,Number_American_Indian_or_Alaskan_Native,Percent_American_Indian_or_Alaskan_Native,Number_Asian,Percent_Asian,Number_Native_Hawaiian/Other_Pacific_Islander,Percent_Native_Hawaiian/Other_Pacific_Islander,Number_Hispanic,Percent_Hispanic,Number_Non-Hispanic_White,Percent_Non-Hispanic_White,Number_Not_Proficient_in_English,Percent_Not_Proficient_in_English,Percent_Female,Number_Pop_Living_in_Rural_Area,Percent_Rural,Year
48000,Texas,0,297317,6650.619481,20.80662385,8.328264628,15.70960286,30.1,6,24.4,80.54326567,19.52038161,26.88501285,535.4,34.31658863,19.39113335,60.9053,57.64089,113.83937,5011,95,61.4188542,3.8552734,21.1,120934,24998,32.77482702,7.623850204,115228,420.3901404,56.58131184,8.75,0,17.66780002,38.2,340.0571859,50.29638036,5.714472369,10,374.8,14.9,10.39837414,13.2850194,10.66295277,82.12016,60632,58.67899095,5.38626959,28701845,25.77569142,12.55083079,3441644,11.99102009,290961,1.013736225,1486266,5.178294287,42333,0.147492261,11368849,39.61016792,11912849,41.50551646,1957944,7.563622586,50.31641346,3847522,15.30099885,2020
48001,Texas,Anderson,1130,10927.03804,19.72772264,7.30704089,17.3863208,36.5,5.9,23.1,26.38988676,19.23829174,24.07407407,379.3,46.44471846,19.60252936,34.63743,39.61624,43.06113,5229,96.8,39.52792908,3.089851874,22.6,82461,19270,32.49462751,10.04485548,240.5,416.6089246,82.42738252,9.9,Yes,14.42365721,26,568.8665527,51.37827816,0,10.4,674.8,18.2,12.10151442,20.25356475,11.82446854,53.3958,45969,59.21555016,4.69289915,58057,19.12775376,14.79752657,12168,20.95871299,405,0.697590299,540,0.930120399,92,0.158464957,10430,17.96510326,34059,58.66476049,1388,2.529523254,38.77396352,39204,67.06353279,2020
48003,Texas,Andrews,180,7137.509902,19.85100222,6.292749658,13.4363002,34.9,8.1,26.4,93.86581902,20.11542987,41.17647059,366.8,65.25777984,22.05352059,50.78434,22.06531,16.54898,5664,95.8,41.06300021,2.398209337,14,132125,30987,20.83710817,7.335515179,89.5,493.888475,85.20943582,7.3,Yes,16.32653061,30.8,372.4354626,0,0,6.7,94.5,8.4,0,39.30946375,13.91563102,66.19594,84946,39.71962617,0,18128,30.72043248,10.35966461,242,1.334951456,276,1.52250662,140,0.772285967,4,0.022065313,10268,56.64165931,7229,39.87753751,1306,8.028524006,48.84157105,2440,16.50209658,2020
48005,Texas,Angelina,1375,8913.812861,20.90042999,9.050048591,15.85696582,40.7,6.2,34.5,65.12775006,15.73896433,22.22222222,478.3,41.76668267,21.65753731,59.22214,48.22487,134.3407,4638,92.4,54.34802571,4.388169341,26.7,88122,19834,38.56735821,11.27498434,275,311.6712378,68.61290242,9.8,Yes,17.461879,16.3,461.7698033,59.58423445,5.950964056,14.3,201.6,18.9,14.08515045,19.38960229,11.98285102,78.07835,46653,66.86587749,6.191637705,87092,25.58214302,16.32526524,12919,14.83373904,661,0.758967529,938,1.077022,61,0.070040876,19589,22.49230699,52523,60.30749093,3586,4.394823276,51.21480733,37383,43.08236623,2020
48007,Texas,Aransas,492,8770.440897,20.55054094,9.263521289,14.15745233,40.5,5.8,36.3,80.60281544,15.89120745,4.761904762,477.1,40.32825322,22.30243369,35.19474,29.42165,79.85878,3318,88.7,48.29735144,5.710684507,34.7,102962,19557,35.86933161,5.083685281,120.5,476.5482876,98.08064941,9.3,Yes,13.82198953,28.9,443.7112977,0,0,18.7,141.9,16.5,17.31371113,20.16349716,12.97863765,46.23403,46912,96.30938359,5.760999188,23792,17.53530599,29.62760592,300,1.260928043,294,1.235709482,475,1.996469402,22,0.092468057,6526,27.42938803,16063,67.51429052,571,2.424010868,50.60944855,6313,27.26055791,2020
48009,Texas,Archer,125,8253.250524,13.89139766,7.977736549,14.06260699,26.8,7.6,19.3,22.50938812,19.25183263,50,204.3,23.4063745,18.97820549,0,0,0,4758,99.4,59.45072698,3.083173996,14.3,116886,26571,23.62288136,9.081621069,10.5,201.6516228,86.71047828,8.5,No,9.45945946,18.4,384.2410744,0,0,11.5,0,14,0,29.39255389,14.5153434,0,61190,29.38711367,0,8786,21.47735033,20.0091054,76,0.86501252,130,1.479626679,46,0.523560209,3,0.034145231,717,8.160710221,7757,88.28818575,79,0.945089126,50.76257683,8057,88.98829247,2020
48011,Texas,Armstrong,0,0,12.28798997,8.609271523,11.74955027,29.3,6.5,23.2,2.524986849,19.84930999,0,6120.3,29.41176471,17.61442441,0,0,0,5488,100,73.44913151,2.807775378,15.3,124750,34021,25.25252525,26.60989888,3,152.8273052,115.1953084,6.8,No,10,48.3,347.9922259,0,0,9.2,0,13.1,0,0,14.79820628,52.85412,57210,42.74193548,0,1892,23.09725159,23.94291755,16,0.845665962,28,1.479915433,4,0.211416491,0,0,151,7.980972516,1685,89.05919662,18,1.002785515,51.47991543,1901,100,2020
48013,Texas,Atascosa,611,7753.554711,23.67838846,7.989096247,14.3944699,36.7,8.3,32.1,41.16586137,17.59635967,18.6440678,818.7,47.17809531,19.01973021,16.33286,41.7412,39.75353,5400,92.5,41.33947326,3.765237445,23.9,105098,23811,37.0384102,6.9414671,109,222.3809038,66.72206372,9.6,No,13.88074291,50.5,380.0997478,48.2338973,4.925053533,17.1,128.1,8.8,11.47966074,19.83210789,10.40902883,43.72888,50594,62.90751026,9.176049918,50310,27.28085868,14.67899026,373,0.7414033,661,1.313854105,313,0.622142715,64,0.12721129,32529,64.65712582,16669,33.13257802,1839,4.064627354,50.14112503,27266,60.71118434,2020
48015,Texas,Austin,379,7371.154523,17.11688887,7.949790795,13.5605543,31.5,7.6,29.3,26.49470387,19.41509665,10,248.4,29.61107837,20.244661,20.14369,40.01467,33.34556,4223,96.8,60.97671606,3.631823047,16.9,117074,25103,25.43909348,12.4219432,70,237.7798159,71.52014034,10.2,Yes,14.52762923,41.7,339.453636,45.33565824,0,10.4,216.2,14.7,0,19.4481585,13.10931067,50.01834,59942,54.04536524,0,29989,23.77204975,19.00363467,2585,8.61982727,239,0.796958885,231,0.770282437,13,0.043349228,8265,27.56010537,18497,61.6792824,1449,5.215044089,50.13504952,18853,66.34408981,2020
48017,Texas,Bailey,76,9061.655502,26.99170783,7.457627119,16.25368837,31.3,8.3,24.6,82.12142359,16.27178924,40,395.6,62.70810211,27.33703891,42.39084,42.69247,28.46165,5380,100,44.58735263,4.369114878,26.1,91974,25580,36.90711463,7.065140596,11.5,160.1894414,79.08487502,6.8,No,14.47084233,26.3,370.8222124,0,0,6.1,0,11.2,0,28.19794961,15.25646646,85.38494,45051,83.13671062,0,7027,31.39319767,14.58659456,88,1.252312509,236,3.358474456,61,0.868080262,9,0.128077416,4504,64.09563114,2319,33.00128077,881,13.34646266,50.20634695,2060,28.7508723,2020
