,,,Premature death,,,,,,,Poor or fair health,,,,Poor physical health days,,,,Poor mental health days,,,,Low birthweight,,,,,,,,Adult smoking,,,,Adult obesity,,,,Food environment index,,Physical inactivity,,,,Access to exercise opportunities,,Excessive drinking,,,,Alcohol-impaired driving deaths,,,,,,Sexually transmitted infections,,,Teen births,,,,,,,Uninsured,,,,,Primary care physicians,,,,Dentists,,,,Mental health providers,,,,Preventable hospital stays,,,,,Mammography screening,,,,,Flu vaccinations,,,,,High school graduation,,,Some college,,,,,,Unemployment,,,,Children in poverty,,,,,,,Income inequality,,,,Children in single-parent households,,,,,,Social associations,,,Violent crime,,,Injury deaths,,,,,Air pollution - particulate matter,,Drinking water violations,,Severe housing problems,,,,,,,Driving alone to work,,,,,,,Long commute - driving alone,,,,
FIPS,State,County,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (Black),YPLL Rate (Hispanic),YPLL Rate (White),% Fair/Poor,95% CI - Low,95% CI - High,Z-Score,Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% LBW,95% CI - Low,95% CI - High,Z-Score,% LBW (Black),% LBW (Hispanic),% LBW (White),% Smokers,95% CI - Low,95% CI - High,Z-Score,% Obese,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (Black),Teen Birth Rate (Hispanic),Teen Birth Rate (White),# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,PCP Rate,PCP Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,MHP Rate,MHP Ratio,Z-Score,Preventable Hosp. Rate,Z-Score,Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% Screened,Z-Score,% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score,% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,Graduation Rate,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Average Daily PM2.5,Z-Score,Presence of violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,Z-Score,% Drive Alone,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (Black),% Drive Alone (Hispanic),% Drive Alone (White),# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
48000,Texas,,6681,6648,6715,,,,,18,17,20,,3.5,3.3,3.8,,3.4,3.1,3.7,,,8,8,8,,,,,14,13,15,,29,,,,6.0,,23,,,,80,,19,18,21,,4990,18026,28,27,28,,142952,520.4,,37,37,38,,,,,4444791,19,18,19,,16815,60,1657:1,,16089,57,1759:1,,29570,104,957:1,,4966,,,,,37,,,,,43,,,,,358201,89,,4690985,7707248,61,61,61,,577800,13538411,4.3,,21,21,21,,,,,116315,23839,4.9,,2358861,7157337,33,33,33,,21256,7.6,,115228,420,,76455,56,55,56,,8.8,,,,18,18,18,,,,,80,80,81,,,,,10097917,38,37,38,
48001,Texas,Anderson,10273,9393,11152,1.01,12962,10880,9972,20,19,20,-0.07,3.9,3.8,4.1,0.23,3.6,3.5,3.8,-0.04,,7,6,8,-0.65,11,4,7,18,18,19,1.72,34,28,42,1.78,5.8,1.16,25,19,32,-0.06,29,1.28,19,18,19,0.38,14,49,29,21,36,0.32,224,389.0,-0.09,49,45,54,0.26,46,62,45,6394,18,16,19,-0.71,20,35,2887:1,0.32,21,36,2750:1,-0.20,24,42,2406:1,0.29,6016,0.59,8528,4174,5765,39,-1.02,38,33,39,44,-0.91,35,33,45,557,94,-0.22,7526,18650,40,37,44,1.00,843,23262,3.6,-0.58,23,16,30,-0.17,44,27,15,83904,19474,4.3,-0.60,3639,11186,33,26,39,0.11,66,11.4,0.33,241,417,0.95,225,78,68,88,0.06,9.9,0.87,Yes,0.79,15,13,18,10,4,1,0.29,85,82,88,0.89,83,81,86,16036,27,23,31,-0.23
48003,Texas,Andrews,7953,6517,9389,-0.25,,7774,8203,17,17,18,-0.51,3.3,3.2,3.4,-1.20,3.2,3.1,3.3,-1.97,,6,5,7,-1.36,,6,7,13,13,14,-1.46,32,24,41,0.86,8.1,-0.98,24,17,32,-0.48,94,-1.56,21,20,22,1.76,25,54,46,40,52,1.67,48,265.1,-0.52,68,60,76,1.46,,81,44,2897,18,16,20,-0.55,7,39,2537:1,0.13,4,23,4431:1,0.47,2,11,8861:1,0.92,5914,0.52,,5743,5926,28,0.77,,28,29,21,1.39,,18,22,238,95,-0.43,1875,4738,40,31,48,1.07,276,9011,3.1,-0.95,18,12,23,-0.93,,17,5,130923,27473,4.8,0.05,1201,5473,22,13,31,-1.16,15,8.4,0.75,90,494,1.43,76,86,68,108,0.47,7.3,-1.07,Yes,0.79,14,10,19,6,8,2,0.03,80,76,84,-0.14,,76,84,6398,27,21,33,-0.20
48005,Texas,Angelina,9018,8324,9713,0.33,14014,4451,9293,23,23,24,0.65,4.2,4.1,4.4,0.91,4.1,3.9,4.2,1.82,,9,8,9,0.51,14,8,8,18,18,19,1.60,40,36,44,4.03,6.1,0.88,33,30,37,2.75,65,-0.30,18,18,19,0.16,17,91,19,14,24,-0.44,487,551.8,0.47,46,43,49,0.02,47,49,44,14196,20,18,22,-0.14,52,59,1688:1,-0.68,42,48,2091:1,-0.76,111,126,791:1,-1.49,4711,-0.34,6249,3055,4697,41,-1.34,33,30,43,46,-1.11,36,45,47,1256,93,0.02,12005,21817,55,51,59,-0.41,1857,36614,5.1,0.36,25,19,31,0.09,48,29,19,87170,19111,4.6,-0.24,8699,22654,38,33,43,0.82,98,11.2,0.37,275,312,0.30,304,69,62,77,-0.35,9.8,0.80,Yes,0.79,16,14,18,11,4,2,0.46,83,81,85,0.47,76,81,87,29404,16,14,18,-1.04
48007,Texas,Aransas,9316,7966,10665,0.49,,6089,11278,20,19,20,-0.07,3.9,3.7,4.0,0.07,3.7,3.6,3.9,0.40,,10,8,11,1.21,,9,11,16,15,16,-0.02,32,25,40,0.70,6.1,0.88,25,18,33,-0.06,81,-0.98,16,16,17,-0.94,3,15,20,7,35,-0.34,135,532.5,0.40,46,39,52,0.01,,61,36,3902,21,19,24,0.24,13,51,1979:1,-0.33,7,27,3653:1,0.23,20,78,1279:1,-0.48,3116,-1.49,,,,46,-2.15,,41,47,51,-1.61,27,39,52,222,87,0.96,2222,4691,47,37,57,0.32,701,10366,6.8,1.46,32,23,42,0.96,68,22,30,102504,19241,5.3,0.86,1350,4606,29,18,41,-0.27,22,8.6,0.74,121,477,1.32,127,101,83,118,1.15,9.3,0.42,No,-1.26,16,12,19,13,3,1,0.32,81,78,85,0.16,,81,78,8116,28,21,34,-0.16
48009,Texas,Archer,9446,6731,12161,0.56,,,,13,13,14,-1.31,3.2,3.0,3.4,-1.45,3.4,3.2,3.6,-1.07,,8,6,11,0.19,,,,14,13,15,-1.03,28,21,36,-0.80,7.6,-0.51,24,17,31,-0.65,23,1.54,20,19,21,1.08,9,18,50,39,60,1.96,11,126.2,-1.00,24,18,32,-1.39,,55,21,1263,18,16,20,-0.64,,,,0.00,,,,0.00,,,,0.00,3752,-1.03,,,,35,-0.37,,,,41,-0.61,,19,42,161,99,-1.15,1176,1811,65,56,74,-1.37,140,4093,3.4,-0.72,14,10,18,-1.40,,26,8,110956,26000,4.3,-0.66,365,1928,19,10,28,-1.52,11,12.6,0.16,11,202,-0.38,38,87,62,119,0.49,8.5,-0.17,Yes,0.79,10,7,13,7,2,1,-1.03,86,83,89,1.08,,,,3694,20,16,24,-0.77
48011,Texas,Armstrong,,,,0.00,,,,12,11,12,-1.60,3.0,2.9,3.1,-1.99,3.3,3.1,3.4,-1.62,x,8,,,0.01,,,,13,12,13,-1.95,29,22,38,-0.30,6.4,0.60,25,17,34,-0.23,3,2.41,20,20,21,1.20,2,8,25,7,46,0.04,69,3543.9,3.00,35,,,-0.69,,,,229,16,13,18,-1.21,0,0,1876:0,1.73,0,0,1879:0,1.57,,,,0.00,6573,0.99,,,,36,-0.53,,,,27,0.79,,,,,100,-1.27,292,385,76,60,92,-2.41,23,920,2.5,-1.31,15,10,20,-1.24,,,,123167,30708,4.0,-1.03,84,417,20,7,33,-1.37,5,26.7,-1.82,3,153,-0.68,12,125,65,218,2.29,6.8,-1.44,No,-1.26,9,4,14,7,2,0,-1.29,69,61,77,-2.32,,,,661,50,38,61,1.54
48013,Texas,Atascosa,7645,6782,8508,-0.42,,7306,8274,22,22,23,0.49,4.0,3.8,4.1,0.28,3.5,3.4,3.7,-0.46,,8,7,9,0.05,,9,8,14,14,15,-0.84,34,26,42,1.57,8.5,-1.35,32,25,41,2.43,39,0.84,18,17,19,0.02,10,56,18,11,25,-0.50,317,654.5,0.82,48,44,52,0.17,,54,36,7590,18,16,20,-0.54,8,16,6100:1,1.06,19,39,2578:1,-0.32,20,41,2449:1,0.30,5640,0.32,,6747,4909,29,0.60,,28,31,34,0.09,21,28,37,612,94,-0.22,5233,12160,43,38,48,0.74,886,21181,4.2,-0.22,25,18,33,0.09,17,27,10,104340,24872,4.2,-0.76,4942,13350,37,30,44,0.65,40,8.2,0.79,109,222,-0.25,160,66,56,77,-0.49,9.6,0.65,Yes,0.79,16,13,19,8,7,2,0.38,77,73,81,-0.72,,75,81,15183,49,43,54,1.46
48015,Texas,Austin,6981,5867,8094,-0.78,10025,4244,7928,17,16,17,-0.59,3.4,3.3,3.6,-0.91,3.6,3.4,3.7,-0.36,,8,7,9,-0.13,14,7,7,14,14,15,-0.77,30,24,37,-0.10,7.6,-0.51,26,19,34,0.22,62,-0.15,18,18,19,0.25,5,32,16,7,26,-0.67,95,321.3,-0.32,32,28,37,-0.84,62,42,20,4429,18,16,20,-0.52,6,20,4960:1,0.91,11,37,2708:1,-0.23,10,34,2979:1,0.46,4015,-0.84,10798,4288,3325,37,-0.69,28,24,39,37,-0.21,29,31,38,431,94,-0.26,3849,6446,60,52,68,-0.86,606,13997,4.3,-0.12,16,11,22,-1.07,41,42,7,114860,23402,4.9,0.26,1730,7049,25,18,32,-0.84,36,12.1,0.24,70,238,-0.16,106,72,58,86,-0.22,10.2,1.10,Yes,0.79,13,10,16,8,4,1,-0.38,82,78,85,0.20,,85,79,10834,42,37,47,0.97
