Health_Center_Name,City,State,County,Year,Abr,Total_Patients,Children,Adults_under_65,Older_Adults,Racial_Ethnic_Minority,Hispanic_Latino_Ethnicity,African_American,Asian,American_Indian_Alaskan_Native,Native_Hawaiian_Other_Pacific_Islander,More_than_one_race,Best_Served_in_another_language,Patients_at_or_below_200Pct_Poverty,Patients_at_or_below_100Pct_Poverty,Uninsured,Medicaid_CHIP,Medicare,Other_Third_Party,Medical_Services,Dental_Services,Mental_Health_Services,Substance_Abuse_Services,Vision_Services,Enabling_Services,Pct_Pts_with_Hypertension,Pct_Pts_with_Diabetes,Pct_Pts_with_Asthma,Pct_Pts_with_HIV,Prenatal_Patients,Prenatal_Patients_who_delivered,Acces_to_Prenatal_Care,Pct_Births_with_Low_Birth_Weight,Cervical_Cancer_Screening,Adolescent_Weight_Screening_and_Follow Up,Adult_Weight_Screening_and_Follow Up,Colorectal_Cancer_Screening,Childhood_Immunization,Appropriate_Asthma_Treatment_Plan,Cholesterol_Treatment_Lipid_Therapy_CAD,Heart_Attack_Stroke_Treatment_Aspirin_IVD,Blood_Pressure_Control,Total_Cost_per_Patient
ALASKA ISLAND COMMUNITY SERVICES,WRANGELL,Alaska,Wrangell-Petersburg,2016,AK,3062,0.2178315,0.6188766,0.163292,0.330013,0.02506372,0.01044386,0.01305483,0.2428198,0.004786771,0.04612707,0.01959504,0.6257333,0.3441533,0.3380144,0.1688439,0.1309602,0.3621816,0.8370346,0.4023514,0.1080993,0,0,0.02939255,0.2536505,0.08452768,0.06125634,0.000780336,31,21,0.8709677,0,0.2320611,0.2142857,0.2930857,0.1114865,0.2777778,0.9777778,0.775,0.8738739,0.676,2215.027
ALEUTIAN PRIBILOF ISLAND ASSOCIATIONS,ANCHORAGE,Alaska,Anchorage,2016,AK,458,0.2336245,0.6484716,0.1179039,0.8990384,0.01809955,0,0.009756098,0.8780488,0.009756098,0,0,0.7035398,0.2654867,0.6179039,0.1484716,0.06550218,0.1681223,0.7772925,0.290393,0.01746725,0,0,0,0.2335751,0.1352195,0.03370786,0,4,4,1,0.25,0.5571429,0,0.0505618,1,1,1,1,0.2307692,0.7460318,7786.974
ANCHORAGE NEIGHBORHOOD HEALTH CENTER,ANCHORAGE,Alaska,Anchorage,2016,AK,13184,0.1243932,0.7028974,0.1727093,0.5517876,0.124087,0.1244526,0.1683952,0.007682262,0.083583,0.09172621,0.2120752,0.8933998,0.5755915,0.2660801,0.3730279,0.1621663,0.1987257,0.8604369,0.2993022,0.09170207,0,0,0.03625607,0.3120269,0.1684113,0.04451692,0.01410437,289,154,0.716263,0.05921053,0.3880012,0.5,0.2642923,0.2407995,0.3416667,0.9428571,0.8111588,0.7285714,0.5712881,1236.598
BETHEL FAMILY CLINIC,BETHEL,Alaska,Bethel,2016,AK,3792,0.6677215,0.3077532,0.02452532,0.8313513,0.009703504,0.006224628,0.01488498,0.7959405,0.002165088,0.007848443,0.008702531,0.9989669,0.02117769,0.1964662,0.4947257,0.01450422,0.2943038,0.9643987,0.03612869,0.02637131,0,0,0,0.1031141,0.03735885,0.01832103,0.000273448,2,1,0,0,0.1122195,0.001717475,0.7495544,0.007159905,0.3611111,0.875,0.8181818,0.75,0.616,715.4225
BRISTOL BAY AREA HEALTH CORPORATION,DILLINGHAM,Alaska,Dillingham,2016,AK,5649,0.3225349,0.5930253,0.08443972,0.8584569,0.02263871,0.006235828,0.004913076,0.8342782,0.004157219,0,0.01221455,0.6592529,0.02480753,0.2543813,0.393698,0.08497079,0.2669499,0.7907594,0.4671623,0.07523455,0,0.1640998,0,0.3521311,0.1482285,0.05014551,0.002014775,217,133,0.8294931,0.06015038,0.497992,0.01977644,0.3117011,0.5099174,0.3170732,1,0.4225352,0.5877863,0.5146642,1903.015
BRISTOL BAY BOROUGH,NAKNEK,Alaska,Bristol Bay,2016,AK,1374,0.1077147,0.8260553,0.06622998,0.3961312,0.09047619,0.03958692,0.04733219,0.222031,0.01635112,0,0.04366812,0.7882562,0.5231317,0.4068413,0.0705968,0.04002911,0.4825327,0.9774382,0,0.0349345,0,0,0,0.01254803,0.02881923,0.02308265,0.000744602,5,3,1,0,0.1285714,0.3714286,0.2428571,0.1857143,0.4,1,1,1,0.6666667,1535.099
COUNCIL OF ATHABASCAN TRIBAL GOVERNMENT,FORT YUKON,Alaska,Yukon-Koyukuk,2016,AK,1157,0.3085566,0.5834054,0.108038,0.9424977,0.001745201,0.001796945,0,0.9389039,0.001796945,0,0,0.7820197,0.4581281,0.2394123,0.4010372,0.07000864,0.2895419,0.752809,0.3318928,0.01037165,0,0.1210026,0.6257563,0.5516494,0.1992537,0.0401837,0,24,12,0.5833333,0,0.4912281,0.1135135,0.4145161,0.7971014,0.7857143,0,0.375,0.5483871,0.5429448,4108.967
CROSS ROAD MEDICAL CENTER,GLENNALLEN,Alaska,Valdez-Cordova,2016,AK,2908,0.2775103,0.5570839,0.1654058,0.2361702,0.02422753,0.004985755,0.008903134,0.1574074,0.008547009,0.03703704,0.02028886,0.9872449,0.5918368,0.1292985,0.1740028,0.1444292,0.5522696,0.9993122,0,0.005845942,0,0,0,0.1885987,0.07988905,0.01927047,0.000344116,20,12,0.95,0,0.1066667,0.06163328,0.3459086,0.132336,0.173913,0.4666667,0.6388889,0.7428572,0.5655527,1504.963
"EASTERN ALEUTIAN TRIBES, INC",ANCHORAGE,Alaska,Anchorage,2016,AK,2227,0.1809609,0.7251908,0.09384823,0.7433838,0.05966698,0.06188119,0.1024752,0.5287129,0.03069307,0,0.0727436,0.4334975,0.1576355,0.5657836,0.142793,0.06286484,0.2285586,0.7063314,0.2887292,0.05523125,0.01975752,0.09070498,0,0.2333595,0.08643456,0.04386523,0,25,13,0.76,0,0.2714286,0.2285714,0.6571429,0.3285714,0.5,0.6153846,0.8421053,0.8947368,0.3812709,4879.493
GIRDWOOD HEALTH CLINIC,GIRDWOOD,Alaska,Anchorage,2016,AK,974,0.1971253,0.6642711,0.1386037,0.1364629,0.04530744,0.007734807,0.04088398,0.008839779,0.002209945,0.03535911,0.04414785,0.980198,0.2970297,0.2351129,0.1149897,0.1334702,0.5164271,1,0,0,0,0,0,0.08387097,0.01602136,0.02772074,0,0,0,0,0,0.1434108,0.1290323,0.4660194,0.1439114,0.4,1,0.6666667,1,0.5846154,964.5359
