<<<<<<< HEAD
﻿Site Name,Services Delivered at Site,Health Center Type,Health Center Location Type,Health Center Location Setting,County,State
White House Clinic - Irvine,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Estill County,KY
La Clinica School-Based Health Center at Phoenix Elementary School,Yes,Service Delivery Site,Seasonal,School,Jackson County,OR
South Side School,Yes,Service Delivery Site,Seasonal,School,Hartford County,CT
CHC/SEK Southeast High School,Yes,Service Delivery Site,Seasonal,School,Crawford County,KS
Cornerstone Family Healthcare: The Center for Recovery,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orange County,NY
Administrative Offices,No,Administrative,Permanent,Unknown,Pierce County,WA
Ofu Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Western District,AS
ARcare - 45,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jackson County,AR
Third Street Primary Care Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,New York County,NY
RIVER VALLEY PRIMARY CARE SERVICES INC.,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Logan County,AR
MID LAKES MEDICAL AND DENTAL BUILDING,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lake County,IL
MedLink Oglethorpe,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Oglethorpe County,GA
Knox/Winamac Community Health Centers,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Starke County,IN
Cantonment Adult and Family Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Escambia County,FL
Dorothy Howell Elementary School,Yes,Service Delivery Site,Seasonal,School,Kenton County,KY
WCHC Hamtramck Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Wayne County,MI
CENTROMED SOUTH PARK DENTAL CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bexar County,TX
CHCRR Administration,No,Administrative,Permanent,All Other Clinic Types,Rutland County,VT
La Red Health Center Main Campus,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sussex County,DE
Community Health Services - Lima,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Allen County,OH
YOUTH DETENTION CENTER,Yes,Service Delivery Site,Permanent,Correctional Facility,Muskegon County,MI
COMMUNITY HEALTH CENTERS OF SOUTHERN IOWA,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Decatur County,IA
