Health_Center_Name,City,State,County,Year,Abr,Total_Patients,Children,Adults_under_65,Older_Adults,Racial_Ethnic_Minority,Hispanic_Latino_Ethnicity,African_American,Asian,American_Indian_Alaskan_Native,Native_Hawaiian_Other_Pacific_Islander,More_than_one_race,Best_Served_in_another_language,Patients_at_or_below_200Pct_Poverty,Patients_at_or_below_100Pct_Poverty,Uninsured,Medicaid_CHIP,Medicare,Other_Third_Party,Medical_Services,Dental_Services,Mental_Health_Services,Substance_Abuse_Services,Vision_Services,Enabling_Services,Pct_Pts_with_Hypertension,Pct_Pts_with_Diabetes,Pct_Pts_with_Asthma,Pct_Pts_with_HIV,Prenatal_Patients,Prenatal_Patients_who_delivered,Acces_to_Prenatal_Care,Pct_Births_with_Low_Birth_Weight,Cervical_Cancer_Screening,Adolescent_Weight_Screening_and_Follow Up,Adult_Weight_Screening_and_Follow Up,Colorectal_Cancer_Screening,Childhood_Immunization,Appropriate_Asthma_Treatment_Plan,Cholesterol_Treatment_Lipid_Therapy_CAD,Heart_Attack_Stroke_Treatment_Aspirin_IVD,Blood_Pressure_Control,Total_Cost_per_Patient,Health Center Type,Health Center Location Type,Health Center Location Setting
BETHEL FAMILY CLINIC,BETHEL,Alaska,Bethel,2018,AK,3563,0.6202638,0.34577600000000003,0.03396014,0.8084336999999999,0.01480604,0.01088271,0.01783555,0.766324,0.001813785,0.006650544,0.007016559,0.9989836999999999,0.0625,0.18720179999999997,0.47067079999999994,0.01515577,0.32697170000000003,0.8450744000000001,0.1723267,0.04181869,0.02357564,0.0,0.0,0.10160330000000001,0.02306336,0.00597808,0.0,0,0,0.0,0.0,0.1524164,0.5323625,0.8169643,0.1096774,0.09090909,0.8333333,0.75,0.4,0.6810345,975.0519,Service Delivery Site,Permanent,All Other Clinic Types
BRISTOL BAY BOROUGH,NAKNEK,Alaska,Bristol Bay,2018,AK,1505,0.06976745,0.8445181999999999,0.08571429,0.44833069999999997,0.1537291,0.06454465,0.05835544,0.193634,0.02740937,0.000884173,0.04186046,0.6861965999999999,0.4031778,0.1129568,0.08372093,0.0551495,0.7481728,1.0,0.0,0.02392027,0.004651163,0.0,0.0,0.06361687,0.03138686,0.03322259,0.0,9,1,0.3333333,0.0,0.02409638,0.3098592,0.3010563,0.1231231,0.2,0.58,0.08333334,0.5,0.494382,1394.9070000000002,Administrative,Permanent,All Other Clinic Types
COUNCIL OF ATHABASCAN TRIBAL GOVERNMENT,FORT YUKON,Alaska,Yukon-Koyukuk,2018,AK,1072,0.2845149,0.5802239,0.1352612,0.9748135,0.0,0.004664179,0.000932836,0.9673507,0.000932836,0.000932836,0.0,0.7836734999999999,0.47346940000000004,0.1669776,0.5382463000000001,0.10261189999999999,0.1921642,0.9421642,0.3162313,0.0,0.0,0.0,0.18656720000000002,0.2678002,0.07289739999999999,0.01485149,0.0,12,5,0.9166667,0.0,0.3891403,0.01546392,0.23684210000000003,0.4482759,0.15384620000000002,1.0,0.47058820000000007,0.7894737,0.5602095,3853.545,Administrative,Permanent,All Other Clinic Types
"ILIULIUK FAMILY AND HEALTH SERVICES, INC.",UNALASKA,Alaska,Aleutians West,2018,AK,3565,0.1211781,0.8280504999999999,0.05077139,0.6289766,0.1408128,0.10756610000000001,0.29261620000000005,0.04740201,0.06927986,0.01458523,0.26900419999999997,0.8625954,0.4045801,0.4187938,0.03590463,0.01879383,0.5265076999999999,1.0,0.08022439999999999,0.04908836,0.0,0.001402525,0.0,0.1007033,0.06406954,0.03141655,0.0,33,28,0.6969696999999999,0.0,0.1996497,0.01339286,0.2000791,0.108802,0.1111111,0.8064515999999999,0.8,0.7555556,0.4444444,1411.547,Administrative/Service Delivery Site,Permanent,All Other Clinic Types
INTERIOR COMMUNITY HEALTH CENTER,FAIRBANKS,Alaska,Fairbanks North Star,2018,AK,5030,0.1689861,0.6940358,0.1369781,0.24350120000000003,0.07995972,0.06896552,0.04133777,0.01765683,0.004362277,0.05878687,0.00974155,0.7464755999999999,0.4234022,0.2025845,0.32842940000000004,0.15029820000000002,0.3186879,0.7755466999999999,0.333002,0.4337972,0.0,0.0,0.0035785290000000004,0.3495397,0.1440882,0.05306332,0.006152268000000001,23,15,0.8260869000000001,0.0,0.5136702999999999,0.8056995,0.8142351,0.4195997,0.23529410000000003,0.9137931,0.9302326,0.92,0.664,1196.142,Service Delivery Site,Permanent,All Other Clinic Types
INTERIOR COMMUNITY HEALTH CENTER,FAIRBANKS,Alaska,Fairbanks North Star,2018,AK,5030,0.1689861,0.6940358,0.1369781,0.24350120000000003,0.07995972,0.06896552,0.04133777,0.01765683,0.004362277,0.05878687,0.00974155,0.7464755999999999,0.4234022,0.2025845,0.32842940000000004,0.15029820000000002,0.3186879,0.7755466999999999,0.333002,0.4337972,0.0,0.0,0.0035785290000000004,0.3495397,0.1440882,0.05306332,0.006152268000000001,23,15,0.8260869000000001,0.0,0.5136702999999999,0.8056995,0.8142351,0.4195997,0.23529410000000003,0.9137931,0.9302326,0.92,0.664,1196.142,Administrative/Service Delivery Site,Permanent,All Other Clinic Types
NORTON SOUND HEALTH CORPORATION,NOME,Alaska,Nome,2018,AK,10102,0.3614136,0.5596911,0.07889527,0.8730867,0.01059153,0.005589999,0.005386726,0.8469357,0.000406545,0.01189145,0.002375767,0.907208,0.7862469,0.15294000000000002,0.5115818,0.07622253,0.25925560000000003,0.7169867,0.397941,0.09097209,0.0,0.31399720000000003,0.006929321,0.2587904,0.0654727,0.03327351,0.000276129,286,130,0.7657343000000001,0.1,0.7655786,0.9443638000000001,0.9520818999999999,0.4950912,0.30232559999999997,1.0,0.8924731,0.9830508,0.6122791999999999,7544.371999999999,Administrative,Permanent,Unknown
SOUTHCENTRAL FOUNDATION,ANCHORAGE,Alaska,Anchorage,2018,AK,2724,0.24265789999999998,0.6556535,0.10168869999999999,0.7741806999999999,0.02066116,0.01005227,0.0040209090000000005,0.6907920999999999,0.000804182,0.06393245,0.002202643,0.8373944,0.6220786,0.2712922,0.44787079999999996,0.08883994,0.1919971,0.774229,0.2984582,0.07745962,0.0917768,0.08553597,0.000367107,0.28415359999999995,0.08436321,0.06021811,0.002370792,47,32,0.8510638,0.1875,0.48242809999999997,0.3566667,0.4034259,0.42287700000000006,0.4285714,0.7777778000000001,0.3913043,0.7317073000000001,0.383592,6782.884,Administrative,Permanent,Unknown
TANANA CHIEFS CONFERENCE,FAIRBANKS,Alaska,Fairbanks North Star,2018,AK,4167,0.300696,0.5365970999999999,0.162707,0.7412496999999999,0.02863039,0.0015592520000000001,0.001299376,0.7255718000000001,0.000259875,0.0,0.000719942,0.8514565999999999,0.5794635,0.2774178,0.3220542,0.18214539999999999,0.21838249999999998,0.7182626,0.3736501,0.07559396,0.04031678,0.06047516,0.01943845,0.3304882,0.1271388,0.046441699999999995,0.00033411300000000003,85,45,0.7882353,0.0,0.29152540000000005,0.01112347,0.329917,0.5412186,0.3636364,0.9333333,0.9148936,0.9428571,0.5450517,3630.389,Administrative,Permanent,Unknown
"NORTHEAST ALABAMA HEALTH SERVICES, INC.",SCOTTSBORO,Alabama,Jackson,2018,AL,9698,0.1484842,0.7005568,0.15095899999999998,0.06663895,0.03551092,0.01617568,0.0028923409999999997,0.007284414,0.000107124,0.00889127,0.02340689,0.9904736999999999,0.8121195999999999,0.2964529,0.181687,0.157352,0.36450820000000006,1.0,0.05846566,0.0,0.0,0.0,0.0,0.3774648,0.16880620000000002,0.01299237,0.000309342,19,10,0.9473684000000001,0.1,0.5035835999999999,0.8814516,0.8845685,0.35687959999999996,0.2424242,0.9285714,0.8318584000000001,0.9283388000000001,0.5103829000000001,499.1219,Administrative,Permanent,All Other Clinic Types
