FIPS,State,County/Borough/Parish,Premature_Deaths,Yrs_Potential_Life_Lost_per100K(YPLL),%_Fair/Poor_Health,%_Low_Birthweight_Births,%_Adult_Smokers,%_Adult_Obesity,"Healthy_Food_Access(0=Worst,10=Best)",%_Adults_Physical_Inactivity,%_Access_to_Excercise_Opportunities,%_Adults_Excessive_Drinking,%_Driving_Deaths_with_Alcohol_Involvement,Chlamydia_Cases_per_100K,Teen_Birth_Rate,%_Ppl_Under65_w/o_Insurance,PCP_per_100K,Dentists_per_100K,MHP_per_100K,Preventable_Hospitalization_Rate(per100K_Medicare_Enrollees),Graduation_Rate,%_Adults(25-44)_with_Some_Post-secondary_Ed,%_Ppl(16+)_Unemployed_&_Looking_for_Work,%_Children(under18)_Living_in_Poverty,80th_Percentile_MHI,20th_Percentile_MHI,%_Children_Living_in_Single_Parent_Household,Associations_per_10K,Annual_Avg_Violent_Crimes,Violent_Crimes_per_100K,Injury_Death_Rate_per_100K,Avg_Daily_Particulate_Matter_in_Micrograms_per_Cubic_Meter,"County_Affected_by_Water_Violation(1=Yes,0=No)","%_Households_with_One_or_More Problems(overcrowding,high-housing-cost,lack-kitchen,lack-plumbing-facilities)",%_Lone_Commuters_who_Commute_More_Than_30Min,Premature(under75)_Age_Adjusted_Mortality_per_100K,Child(under18)_Mortality_per_100K,Infant(within1yr)_Mortality_per_1K_live_births,%_Adults(20+)_Diagnosed_Diabetes,#_Ppl(Age13+)_diagnosed_HIV_per_100K,%_Pop_w/o_Adequate_Access_to_Food,Drug_Overdose_Deaths_per_100K,Motor_Vehicle_Deaths_per_100K,%_Children(under19)_w/o_Health_Insurance,Other_Primary_Care_Providers(non_physician)_per_100K,Median_Household_Income,%_Children_Enrolled_in_Free/Reduced_Lunch,#_Deaths_due_to_Homicide_per_100K,Resident_Population,%_under_18_years_of_age,%_Age_65_and_over,#_Non-Hispanic_Black_or_African_American,%_Non-Hispanic_Black_or_African_American,#_American_Indian_or_Alaskan_Native,%_American_Indian_or_Alaskan_Native,#_Asian,%_Asian,#_Native_Hawaiian/Other_Pacific_Islander,%_Native_Hawaiian/Other_Pacific_Islander,#_Hispanic,%_Hispanic,#_Non-Hispanic_White,%_Non-Hispanic_White,#_Not_Proficient_in_English,%_Not_Proficient_in_English,%_Female,#_Pop_Living_in_Rural_Area,%_Rural,Year
1000,Alabama,0,81791,9942.794667,22.02870285,10.2548706,20.92735311,35.5,5.8,29.8,61.11228737,13.90351529,27.58917061,614.1,30.89461645,11.04478259,64.82388,48.18049,101.23017,5805,89.3,60.41190154,3.933566911,23.9,99688,18948,37.34273923,12.37192412,23306.5,479.9191819,82.25024507,11,0,14.34070208,34.3,474.782349,69.4996753,8.365563603,14.2,309.9,16.3,16.17676238,19.64988604,3.032001518,86.02928,49881,55.87415303,9.926443407,4887871,22.29682412,16.91726316,1295175,26.49773286,34375,0.703271424,73167,1.496909391,5207,0.106528998,217181,4.443263744,3197324,65.41342846,48517,1.061047926,51.63303205,1957932,40.9631829,2020
1001,Alabama,Autauga,791,8128.59119,20.88298733,8.61952862,18.08155718,33.3,7.2,34.7,69.13012406,15.02603126,26.78571429,407.2,25.28492716,8.721685951,45.0418,32.37352,23.38087,7108,90,62.00997368,3.629078861,19.3,110026,21019,26.24267908,12.07120208,148.5,272.2822201,68.52699423,11.7,No,14.66346154,39.6,417.5475505,55.92215636,7.940108893,11.1,219.1,13.2,10.80944746,19.32875113,2.66915405,39.56763,59338,43.40867308,4.896616953,55601,23.67403464,15.56266974,10755,19.34317728,267,0.480207191,681,1.224798115,62,0.111508786,1649,2.965773997,41316,74.30801604,426,0.820224503,51.44871495,22921,42.00216232,2020
1003,Alabama,Baldwin,2967,7354.12253,17.50913436,8.345003183,17.4890326,31,8,26.5,73.71354895,17.9583101,30.76923077,325,27.88069221,11.33340447,72.89727,49.53629,96.32055,4041,86.3615768,67.37161982,3.615382156,13.9,111447,25227,24.13960145,10.20561732,408,203.6603963,72.38505397,10.3,No,13.56620093,41.7,353.3431105,47.38174986,5.546700669,10.7,166.5,11.6,13.61048665,15.81123899,3.538763291,55.95766,57588,48.48656472,3.008333083,218022,21.60791113,20.44334975,19151,8.783975929,1684,0.772399116,2508,1.150342626,146,0.066965719,10131,4.646778765,181201,83.11133739,1068,0.543516982,51.53837686,77060,42.27909911,2020
1005,Alabama,Barbour,472,10253.5734,29.59180171,11.47455867,21.99998453,41.7,5.6,23.5,53.16676986,12.84401555,40,716.3,40.87081536,12.24279246,31.65809,36.17218,8.03826,6209,81.41025641,34.85764862,5.171384211,43.9,76557,13475,56.60342605,7.518796993,105.5,414.2778607,70.27461156,11.5,No,14.58333333,32.2,497.3500621,74.22527371,0,17.6,420.6,22,0,22.85477964,2.913533835,52.2487,34382,63.29230204,7.618259881,24881,20.86732848,19.4204413,11951,48.03263534,164,0.659137495,113,0.45416181,46,0.184880029,1064,4.276355452,11356,45.64125236,398,1.631682519,47.21675174,18613,67.7896347,2020
1007,Alabama,Bibb,471,11977.53948,19.43972416,10.30871003,19.11419989,37.6,7.8,33.5,16.25136374,15.57004237,27.5862069,339.7,41.69679441,10.20625259,48.52656,22.32143,22.32143,5961,83.76383764,44.13735343,3.971827734,27.8,87957,20134,28.68923611,8.381859891,19.5,89.34912598,108.1560284,11.2,No,10.4964539,49.8,589.0411168,85.8000858,12.24489796,14.5,196.8,14.3,28.06043331,25.96432122,2.617801047,111.60714,46064,61.56211562,8.232589656,22400,20.47767857,16.47321429,4731,21.12053571,98,0.4375,53,0.236607143,26,0.116071429,588,2.625,16708,74.58928571,57,0.268210051,46.78125,15663,68.35260746,2020
1009,Alabama,Blount,1085,11335.07113,21.74529281,7.604562738,19.20867197,33.8,8.4,30.3,15.63448589,14.23059383,19.44444444,234.4,33.5345953,13.36075949,22.40877,19.01798,15.56017,4060,93.46879536,53.36107325,3.511157322,18,91702,20699,28.56182796,8.446382707,279,482.6906109,107.2853687,11.7,No,10.54801164,59.4,515.6118228,83.79888268,6.84199273,17,99.8,10.7,24.19954251,28.66696157,4.077283705,22.4758,50412,52.90628707,6.425353456,57840,23.15352697,18.23651452,846,1.462655602,378,0.653526971,185,0.319847856,70,0.121023513,5536,9.571230982,50255,86.8862379,934,1.724519941,50.72614108,51562,89.95150204,2020
1011,Alabama,Bullock,203,11679.55898,30.99910185,15.68848759,22.89466401,37.2,4.3,24.6,2.501374382,12.09410123,60,863.3,47.91666667,11.44037612,29.10079,19.72776,19.72776,6632,70.24793388,34.97609415,4.690117253,68.3,69189,9337,74.78991597,7.760209526,33,311.0273327,107.1380742,11.2,No,18.14345992,46,562.24753,149.6144551,0,23.7,632.9,24.8,0,47.69562018,2.285447761,88.77491,29267,75.78659371,0,10138,21.07910831,16.38390215,7050,69.54034326,85,0.838429671,19,0.187413691,76,0.749654764,807,7.960149931,2151,21.2172026,43,0.440754408,45.48234366,5607,51.37438153,2020
1013,Alabama,Butler,423,14359.9391,27.91067318,12.68028846,21.76533496,43.3,6.6,39.5,48.57974889,11.85740343,27.45098039,761.7,37.88610039,11.18600954,25.22068,30.4878,50.81301,9203,81.58995816,41.67875648,4.790217635,36.3,80036,14757,52.71283635,9.079445145,116.5,581.5840052,100.0470221,10.6,Yes,13.15960912,32.3,609.1697074,98.19431564,0,19.2,311,20.6,0,29.8879203,2.65945946,71.13821,37365,79.15713819,19.21366305,19680,22.24593496,20.29979675,8769,44.55792683,74,0.37601626,259,1.316056911,10,0.050813008,297,1.509146342,10087,51.2550813,93,0.494155154,53.42987805,14921,71.23215735,2020
1015,Alabama,Calhoun,2373,12078.61615,23.10773322,9.161373668,20.61256038,38.5,6.9,31.7,47.7212158,13.84223015,18.75,654.6,33.53461699,11.92916752,63.62876,58.62947,115.50881,6581,92.36804565,59.24398864,4.652832159,26.5,90822,18078,40.19194475,14.46900495,871,756.0665443,89.54154728,11.8,No,13.73419126,31.2,574.5638416,65.81309082,8.026030369,17.5,226.3,15.7,18.33441982,19.27868075,2.438550848,56.00427,45400,58.83759322,9.762921659,114277,21.60977275,17.71747596,23827,20.85021483,617,0.539916169,1102,0.96432353,126,0.110258407,4469,3.910673189,82308,72.02499191,1076,0.991376133,51.94658593,39955,33.69682556,2020
1017,Alabama,Chambers,654,11112.53661,23.9954736,12.21374046,19.39292705,40.1,6.4,30.1,61.86467923,12.74573462,28.57142857,611,45.44100119,11.93807681,41.52701,17.84917,5.94972,5622,86.23853211,48.46033403,3.908091123,30.7,80754,17019,46.55544369,17.79728888,180.5,528.9997362,81.47842003,11.4,No,15.9566787,31.8,511.6265172,87.56874146,8.106116433,19.9,387.7,17.9,9.88425537,23.14853785,2.538767669,14.87431,39917,71.12135177,10.52206266,33615,20.80023799,19.52104715,13300,39.56567009,103,0.306410829,446,1.326788636,15,0.044622936,861,2.561356537,18566,55.23129555,36,0.112937633,52.12553919,16816,49.14803449,2020
